Title,"If filter ""v"", otherwise empty",Checked,Areas,Clean Up Areas (filter out unused Categories),URL
China CDC Weekly,,TRUE,Medicine,,https://weekly.chinacdc.cn/
China Communications,v,TRUE,Computer Science; Engineering,,http://www.cic-chinacommunications.cn/EN/volumn/home.shtml
China Economic Review,v,TRUE,"Economics, Econometrics and Finance",,https://www.journals.elsevier.com/china-economic-review
China Finance Review International,v,TRUE,"Economics, Econometrics and Finance",,https://www.emeraldinsight.com/loi/cfri
China Petroleum Exploration,v,TRUE,Earth and Planetary Sciences; Energy,,http://www.cped.cn/EN/1672-7703/home.shtml
Chinese Chemical Letters,v,TRUE,Chemistry,,https://www.journals.elsevier.com/chinese-chemical-letters
Chinese Journal of Aeronautics,v,TRUE,Engineering,,https://www.journals.elsevier.com/chinese-journal-of-aeronautics
Chinese Journal of Catalysis,v,TRUE,Chemical Engineering; Chemistry,,https://www.sciencedirect.com/journal/chinese-journal-of-catalysis
Chinese Physics C,v,TRUE,Physics and Astronomy,,https://iopscience.iop.org/journal/1674-1137
Chinese Political Science Review,v,TRUE,Social Sciences,,https://www.springer.com/journal/41111
Chronic Obstructive Pulmonary Diseases,,TRUE,Medicine,,https://journal.copdfoundation.org/
Cilia,,TRUE,"Biochemistry, Genetics and Molecular Biology",,https://ciliajournal.biomedcentral.com/
CIRP Annals - Manufacturing Technology,v,TRUE,Engineering,,https://www.journals.elsevier.com/cirp-annals
CIRP Journal of Manufacturing Science and Technology,v,TRUE,Engineering,,https://www.journals.elsevier.com/cirp-journal-of-manufacturing-science-and-technology
Cities,v,TRUE,"Business, Management and Accounting; Social Sciences",,https://www.journals.elsevier.com/cities
Citizen Science: Theory and Practice,v,TRUE,Multidisciplinary,,https://theoryandpractice.citizenscienceassociation.org/
CKJ: Clinical Kidney Journal,,TRUE,Medicine,,https://academic.oup.com/ckj
Classical and Quantum Gravity,v,TRUE,Physics and Astronomy,,https://iopscience.iop.org/journal/0264-9381
Cleaner Environmental Systems,v,TRUE,Energy; Environmental Science,,https://www.sciencedirect.com/journal/cleaner-environmental-systems
Cleaner Logistics and Supply Chain,v,TRUE,"Business, Management and Accounting; Engineering; Environmental Science",,https://www.sciencedirect.com/journal/cleaner-logistics-and-supply-chain
Climate Dynamics,v,TRUE,Earth and Planetary Sciences,,http://www.springer.com/earth+sciences+%26+geography/geophysics/journal/382
Climate of the Past,v,TRUE,Earth and Planetary Sciences; Environmental Science,,https://www.clim-past.net/
Climate Risk Management,v,TRUE,Earth and Planetary Sciences; Environmental Science; Social Sciences,,https://www.journals.elsevier.com/climate-risk-management
Climatic Change,v,TRUE,Earth and Planetary Sciences; Environmental Science,,https://www.springer.com/journal/10584/
Clinica Chimica Acta,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine",,https://www.journals.elsevier.com/clinica-chimica-acta
Clinical and Experimental Gastroenterology,,TRUE,Medicine,,https://www.dovepress.com/clinical-and-experimental-gastroenterology-journal
Clinical and Experimental Immunology,,TRUE,Immunology and Microbiology; Medicine,,https://academic.oup.com/cei
Clinical and Experimental Medicine,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine",,https://www.springer.com/journal/10238
Clinical and Experimental Metastasis,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine",,http://www.springer.com/biomed/cancer/journal/10585
Clinical and Experimental Rheumatology,,TRUE,Immunology and Microbiology; Medicine,,https://www.clinexprheumatol.org/
Clinical and Molecular Hepatology,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine",,https://www.e-cmh.org/
Clinical and Translational Allergy,,TRUE,Immunology and Microbiology; Medicine,,https://ctajournal.biomedcentral.com/
Clinical and Translational Gastroenterology,,TRUE,Medicine,,https://journals.lww.com/ctg/pages/default.aspx
Clinical and Translational Radiation Oncology,,TRUE,Medicine,,https://www.sciencedirect.com/journal/clinical-and-translational-radiation-oncology
Clinical Autonomic Research,,TRUE,Medicine; Neuroscience,,https://www.springer.com/journal/10286
Clinical Biochemist Reviews,,TRUE,"Biochemistry, Genetics and Molecular Biology",,https://www.aacb.asn.au/clinical-biochemist-reviews
Clinical Cancer Research,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine",,https://clincancerres.aacrjournals.org/
Clinical Chemistry,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine",,https://academic.oup.com/clinchem
Clinical Chemistry and Laboratory Medicine,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine",,https://www.degruyter.com/view/journals/cclm/cclm-overview.xml
Clinical Child and Family Psychology Review,,TRUE,Medicine; Psychology; Social Sciences,,https://www.springer.com/journal/10567
Clinical Epidemiology,,TRUE,Medicine,,https://www.dovepress.com/clinical-epidemiology-journal
Clinical Epigenetics,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine",,https://clinicalepigeneticsjournal.biomedcentral.com/
Clinical Gastroenterology and Hepatology,,TRUE,Medicine,,https://www.journals.elsevier.com/clinical-gastroenterology-and-hepatology
Clinical Genitourinary Cancer,,TRUE,Medicine,,https://www.journals.elsevier.com/clinical-genitourinary-cancer
Clinical Immunology,,TRUE,Immunology and Microbiology; Medicine,,https://www.sciencedirect.com/journal/clinical-immunology
Clinical Infectious Diseases,,TRUE,Medicine,,https://academic.oup.com/cid
Clinical journal of the American Society of Nephrology : CJASN,,TRUE,Medicine,,https://cjasn.asnjournals.org/
Clinical Lung Cancer,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine",,https://www.journals.elsevier.com/clinical-lung-cancer
Clinical Microbiology and Infection,,TRUE,Medicine,,https://www.journals.elsevier.com/clinical-microbiology-and-infection
Clinical Neurophysiology,,TRUE,Medicine; Neuroscience,,https://www.journals.elsevier.com/clinical-neurophysiology
Clinical Neuropsychiatry,,TRUE,Medicine,,https://www.clinicalneuropsychiatry.org/
Clinical Neurosurgery,,TRUE,Medicine,,https://academic.oup.com/neurosurgery
Clinical Nutrition,,TRUE,Medicine; Nursing,,https://www.journals.elsevier.com/clinical-nutrition
Clinical Oncology,,TRUE,Medicine,,https://www.journals.elsevier.com/clinical-oncology
Clinical Orthopaedics and Related Research,,TRUE,Health Professions; Medicine,,https://journals.lww.com/clinorthop/pages/default.aspx
Clinical Pharmacokinetics,,TRUE,"Medicine; Pharmacology, Toxicology and Pharmaceutics",,https://www.springer.com/journal/40262
Clinical Proteomics,,TRUE,"Biochemistry, Genetics and Molecular Biology",,https://clinicalproteomicsjournal.biomedcentral.com/
Clinical Psychological Science,,TRUE,Psychology,,https://www.psychologicalscience.org/publications/clinical
Clinical Psychology Review,,TRUE,Medicine; Psychology,,https://www.journals.elsevier.com/clinical-psychology-review
Clinical Research in Cardiology,,TRUE,Medicine,,https://www.springer.com/journal/392
Clinical Reviews in Allergy and Immunology,,TRUE,Medicine,,https://www.springer.com/journal/12016
Clinical Science,,TRUE,Medicine,,https://portlandpress.com/clinsci
Clinics in Chest Medicine,,TRUE,Medicine,,https://www.journals.elsevier.com/clinics-in-chest-medicine
Clinics in Liver Disease,,TRUE,Medicine,,https://www.journals.elsevier.com/clinics-in-liver-disease
Cliometrica,v,TRUE,"Arts and Humanities; Economics, Econometrics and Finance",,https://www.springer.com/journal/11698
CMAJ,,TRUE,Medicine,,https://www.cmaj.ca/
CNS Drugs,,TRUE,Medicine,,https://www.springer.com/journal/40263
CNS oncology,,TRUE,Medicine; Neuroscience,,https://www.futuremedicine.com/journal/cns
Coastal Engineering,v,TRUE,Engineering; Environmental Science,,https://www.sciencedirect.com/journal/coastal-engineering
Cochrane Database of Systematic Reviews,,TRUE,Medicine,,https://www.cochranelibrary.com/about/about-cochrane-library
Cognition,,TRUE,Neuroscience; Psychology; Social Sciences,,https://www.journals.elsevier.com/cognition
"Cognition, Technology and Work",v,TRUE,Arts and Humanities; Computer Science,,https://www.springer.com/journal/10111
Cognitive Computation,,TRUE,Computer Science; Neuroscience,,https://www.springer.com/journal/12559
Cognitive Psychology,,TRUE,Computer Science; Psychology; Social Sciences,,https://www.journals.elsevier.com/cognitive-psychology
Cognitive Research: Principles and Implications,,TRUE,Neuroscience; Psychology,,https://cognitiveresearchjournal.springeropen.com/
Cognitive Systems Research,,TRUE,Computer Science; Neuroscience; Psychology,,https://www.journals.elsevier.com/cognitive-systems-research
Cognitive Therapy and Research,,TRUE,Psychology,,https://www.springer.com/journal/10608
"Cognitive, Affective and Behavioral Neuroscience",,TRUE,Neuroscience,,https://www.springer.com/journal/13415
Cold Regions Science and Technology,v,TRUE,Earth and Planetary Sciences,,https://www.journals.elsevier.com/cold-regions-science-and-technology
Cold Spring Harbor perspectives in biology,,TRUE,"Biochemistry, Genetics and Molecular Biology",,https://cshperspectives.cshlp.org/
Cold Spring Harbor Perspectives in Medicine,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine",,http://perspectivesinmedicine.cshlp.org/
Cold Spring Harbor Symposia on Quantitative Biology,,TRUE,"Biochemistry, Genetics and Molecular Biology",,http://symposium.cshlp.org/
Collabra: Psychology,,TRUE,Psychology,,https://www.collabra.org/
College and Research Libraries,v,TRUE,Social Sciences,,https://crl.acrl.org/index.php/crl
Combinatorica,v,TRUE,Mathematics,,https://www.springer.com/journal/493
Commentarii Mathematici Helvetici,v,TRUE,Mathematics,,https://www.ems-ph.org/journals/journal.php?jrn=cmh
Communication Monographs,v,TRUE,Social Sciences,,http://www.informaworld.com/smpp/title~content=t713695619~db=all
Communication Theory,v,TRUE,Social Sciences,,https://academic.oup.com/ct
Communications Biology,,TRUE,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine",,https://www.nature.com/commsbio/
Communications Chemistry,,TRUE,"Biochemistry, Genetics and Molecular Biology; Chemistry; Environmental Science; Materials Science",,https://www.nature.com/commschem/
Communications in Combinatorics and Optimization,v,TRUE,Mathematics,,http://comb-opt.azaruniv.ac.ir/
Communications in Computational Physics,v,TRUE,Physics and Astronomy,,http://www.global-sci.com/cicp.html
Communications in Nonlinear Science and Numerical Simulation,v,TRUE,Mathematics,,https://www.journals.elsevier.com/communications-in-nonlinear-science-and-numerical-simulation
Communications in Number Theory and Physics,v,TRUE,Mathematics; Physics and Astronomy,,https://www.intlpress.com/site/pub/pages/journals/items/cntp/_home/_main/index.php
Communications in Transportation Research,v,TRUE,Decision Sciences; Engineering; Social Sciences,,https://www.sciencedirect.com/journal/communications-in-transportation-research
Communications Materials,v,TRUE,Engineering; Materials Science,,https://www.nature.com/commsmat/
Communications of the ACM,v,TRUE,Computer Science,,https://cacm.acm.org/
Communications Physics,v,TRUE,Physics and Astronomy,,https://www.nature.com/commsphys/
Comparative Migration Studies,v,TRUE,Decision Sciences; Social Sciences,,https://comparativemigrationstudies.springeropen.com/
Comparative Politics,v,TRUE,Social Sciences,,https://jcp.gc.cuny.edu/
Complex and Intelligent Systems,v,TRUE,Computer Science; Engineering; Mathematics,,https://www.springer.com/journal/40747
Composite Structures,v,TRUE,Engineering; Materials Science,,https://www.journals.elsevier.com/composite-structures
Composites - Part A: Applied Science and Manufacturing,v,TRUE,Engineering; Materials Science,,https://www.journals.elsevier.com/composites-part-a-applied-science-and-manufacturing
Composites Communications,v,TRUE,Engineering; Materials Science,,https://www.journals.elsevier.com/composites-communications
Composites Part B: Engineering,v,TRUE,Engineering; Materials Science,,https://www.sciencedirect.com/journal/composites-part-b-engineering
Composites Science and Technology,v,TRUE,Engineering; Materials Science,,https://www.journals.elsevier.com/composites-science-and-technology
Comprehensive Psychiatry,,TRUE,Medicine; Psychology,,https://www.journals.elsevier.com/comprehensive-psychiatry/
Computability,v,TRUE,Computer Science; Mathematics,,http://www.computability.de/journal/
Computational and Structural Biotechnology Journal,,TRUE,"Biochemistry, Genetics and Molecular Biology; Computer Science",,https://www.sciencedirect.com/journal/computational-and-structural-biotechnology-journal
Computational Brain and Behavior,,TRUE,Psychology,,https://www.springer.com/journal/42113
Computational Linguistics,v,TRUE,Computer Science; Social Sciences,,https://www.mitpressjournals.org/loi/coli
Computational Mechanics,v,TRUE,Computer Science; Engineering; Mathematics,,https://www.springer.com/journal/466
Computational Optimization and Applications,v,TRUE,Mathematics,,https://www.springer.com/journal/10589
Computational Social Networks,v,TRUE,Computer Science; Mathematics,,https://computationalsocialnetworks.springeropen.com/
Computational Visual Media,v,TRUE,Computer Science,,https://www.springer.com/computer/image+processing/journal/41095
Computer Communications,v,TRUE,Computer Science,,https://www.journals.elsevier.com/computer-communications
Computer Methods and Programs in Biomedicine,,TRUE,Computer Science; Medicine,,https://www.journals.elsevier.com/computer-methods-and-programs-in-biomedicine
Computer Methods in Applied Mechanics and Engineering,v,TRUE,Computer Science; Engineering; Physics and Astronomy,,https://www.journals.elsevier.com/computer-methods-in-applied-mechanics-and-engineering
Computer Networks,v,TRUE,Computer Science,,https://www.journals.elsevier.com/computer-networks
Computer Physics Communications,v,TRUE,Computer Science; Physics and Astronomy,,https://www.journals.elsevier.com/computer-physics-communications
Computer Science Review,v,TRUE,Computer Science; Mathematics,,https://www.journals.elsevier.com/computer-science-review
Computer Standards and Interfaces,v,TRUE,Computer Science; Social Sciences,,https://www.journals.elsevier.com/computer-standards-and-interfaces
Computer Vision and Image Understanding,v,TRUE,Computer Science,,https://www.sciencedirect.com/journal/computer-vision-and-image-understanding
Computerized Medical Imaging and Graphics,,TRUE,Computer Science; Health Professions; Medicine,,https://www.journals.elsevier.com/computerized-medical-imaging-and-graphics
Computers and Education,v,TRUE,Computer Science; Social Sciences,,https://www.journals.elsevier.com/computers-and-education
Computers and Education: Artificial Intelligence,v,TRUE,Computer Science; Social Sciences,,https://www.sciencedirect.com/journal/computers-and-education-artificial-intelligence
Computers and Electrical Engineering,v,TRUE,Computer Science; Engineering,,https://www.journals.elsevier.com/computers-and-electrical-engineering
Computers and Electronics in Agriculture,,TRUE,Agricultural and Biological Sciences; Computer Science,,https://www.sciencedirect.com/journal/computers-and-electronics-in-agriculture
Computers and Fluids,v,TRUE,Computer Science; Engineering,,https://www.journals.elsevier.com/computers-and-fluids
Computers and Geosciences,v,TRUE,Computer Science; Earth and Planetary Sciences,,https://www.journals.elsevier.com/computers-and-geosciences
Computers and Geotechnics,v,TRUE,Computer Science; Earth and Planetary Sciences,,https://www.journals.elsevier.com/computers-and-geotechnics
Computers and Industrial Engineering,v,TRUE,Computer Science; Engineering,,https://www.journals.elsevier.com/computers-and-industrial-engineering
Computers and Operations Research,v,TRUE,Computer Science; Decision Sciences; Mathematics,,http://www.elsevier.com/wps/find/journaldescription.cws_home/300/description#description
Computers and Security,v,TRUE,Computer Science; Social Sciences,,https://www.journals.elsevier.com/computers-and-security
Computers and Structures,v,TRUE,Computer Science; Engineering; Materials Science; Mathematics,,https://www.journals.elsevier.com/computers-and-structures
Computers in Biology and Medicine,,TRUE,Computer Science; Medicine,,http://www.elsevier.com/wps/find/journaldescription.cws_home/351/description#description
Computers in Human Behavior,,TRUE,Arts and Humanities; Computer Science; Psychology,,https://www.journals.elsevier.com/computers-in-human-behavior
Computers in Human Behavior Reports,,TRUE,Computer Science; Neuroscience; Psychology,,https://www.sciencedirect.com/journal/computers-in-human-behavior-reports
Computers in Industry,v,TRUE,Computer Science; Engineering,,https://www.sciencedirect.com/journal/computers-in-industry
"Computers, Environment and Urban Systems",v,TRUE,Environmental Science; Social Sciences,,https://www.journals.elsevier.com/computers-environment-and-urban-systems
Computing and Software for Big Science,v,TRUE,Computer Science; Physics and Astronomy,,https://www.springer.com/journal/41781
Comunicar,v,TRUE,Social Sciences,,https://www.revistacomunicar.com/
Conflict and Health,,TRUE,Medicine; Social Sciences,,https://conflictandhealth.biomedcentral.com/
Construction and Building Materials,v,TRUE,Engineering; Materials Science,,https://www.journals.elsevier.com/construction-and-building-materials
Contact Lens and Anterior Eye,,TRUE,Health Professions; Medicine,,https://www.journals.elsevier.com/contact-lens-and-anterior-eye
Contemporary Educational Psychology,,TRUE,Psychology; Social Sciences,,https://www.journals.elsevier.com/contemporary-educational-psychology
CONTINUUM Lifelong Learning in Neurology,,TRUE,Medicine,,https://journals.lww.com/continuum/pages/default.aspx
Contraception: X,,TRUE,Medicine,,https://www.sciencedirect.com/journal/contraception-x
Contributions to Mineralogy and Petrology,v,TRUE,Earth and Planetary Sciences,,https://www.springer.com/journal/410
Control Engineering Practice,v,TRUE,Computer Science; Engineering; Mathematics,,https://www.journals.elsevier.com/control-engineering-practice
Coordination Chemistry Reviews,v,TRUE,Chemistry; Materials Science,,https://www.journals.elsevier.com/coordination-chemistry-reviews
Coral Reefs,,TRUE,Agricultural and Biological Sciences,,https://www.springer.com/journal/338
Cornea,,TRUE,Medicine,,https://journals.lww.com/corneajrnl/pages/default.aspx
Corporate Governance (Bingley),v,TRUE,"Business, Management and Accounting",,https://www.emeraldgrouppublishing.com/cg.htm
Corrosion Science,v,TRUE,Chemical Engineering; Chemistry; Materials Science,,https://www.journals.elsevier.com/corrosion-science
Cortex,,TRUE,Medicine; Neuroscience; Psychology,,https://www.sciencedirect.com/journal/cortex
Crime Science,v,TRUE,Social Sciences,,https://link.springer.com/journal/40163
Critical Care,,TRUE,Medicine,,https://ccforum.biomedcentral.com/
Critical care and resuscitation : journal of the Australasian Academy of Critical Care Medicine.,,TRUE,Medicine,,https://ccr.cicm.org.au/
Critical Care Medicine,,TRUE,Medicine,,https://journals.lww.com/ccmjournal/pages/default.aspx
Critical Finance Review,v,TRUE,"Economics, Econometrics and Finance",,https://www.nowpublishers.com/CFR
Critical Perspectives on Accounting,v,TRUE,"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences",,https://www.journals.elsevier.com/critical-perspectives-on-accounting
Critical Reviews in Oncology/Hematology,,TRUE,Medicine,,https://www.sciencedirect.com/journal/critical-reviews-in-oncology-hematology
Crop Journal,,TRUE,Agricultural and Biological Sciences,,http://www.keaipublishing.com/en/journals/the-crop-journal/
Cryosphere,v,TRUE,Earth and Planetary Sciences; Environmental Science,,https://www.the-cryosphere.net/
CSEE Journal of Power and Energy Systems,v,TRUE,Energy; Engineering; Materials Science,,http://www.csee.org.cn/english/
Cultural Anthropology,v,TRUE,Arts and Humanities; Social Sciences,,https://journal.culanth.org/index.php/ca
Current Addiction Reports,,TRUE,Medicine; Psychology,,https://www.springer.com/journal/40429
Current Allergy and Asthma Reports,,TRUE,Immunology and Microbiology; Medicine,,https://www.springer.com/journal/11882
Current Atherosclerosis Reports,,TRUE,Medicine,,https://www.springer.com/journal/11883
Current Climate Change Reports,v,TRUE,Earth and Planetary Sciences; Environmental Science,,https://www.springer.com/journal/40641
Current Diabetes Reports,,TRUE,Medicine,,https://www.springer.com/journal/11892/
Current Environmental Health Reports,,TRUE,Environmental Science; Medicine,,https://www.springer.com/journal/40572
Current Forestry Reports,,TRUE,Agricultural and Biological Sciences; Environmental Science,,https://link.springer.com/journal/40725
Current Gastroenterology Reports,,TRUE,Medicine,,https://www.springer.com/journal/11894
Current Genetics,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine",,https://www.springer.com/journal/294
Current HIV/AIDS Reports,,TRUE,Immunology and Microbiology; Medicine,,http://www.springer.com/medicine/journal/11904
Current Hypertension Reports,,TRUE,Medicine,,https://www.springer.com/journal/11906
Current Infectious Disease Reports,,TRUE,Medicine,,https://www.springer.com/journal/11908
Current Neurology and Neuroscience Reports,,TRUE,Medicine; Neuroscience,,https://link.springer.com/journal/11910
Current Neuropharmacology,,TRUE,"Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics",,https://www.eurekaselect.com/journal/26
Current Nutrition Reports,,TRUE,Agricultural and Biological Sciences; Nursing,,https://link.springer.com/journal/13668
Current Oncology Reports,,TRUE,Medicine,,https://www.springer.com/journal/11912
Current Opinion in Behavioral Sciences,,TRUE,Medicine; Neuroscience,,https://www.sciencedirect.com/journal/current-opinion-in-behavioral-sciences
Current Opinion in Biotechnology,,TRUE,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering",,https://www.sciencedirect.com/journal/current-opinion-in-biotechnology
Current Opinion in Cell Biology,,TRUE,"Biochemistry, Genetics and Molecular Biology",,https://www.journals.elsevier.com/current-opinion-in-cell-biology
Current Opinion in Chemical Biology,,TRUE,"Biochemistry, Genetics and Molecular Biology; Chemistry",,https://www.journals.elsevier.com/current-opinion-in-chemical-biology
Current Opinion in Chemical Engineering,v,TRUE,Energy,,https://www.journals.elsevier.com/current-opinion-in-chemical-engineering
Current Opinion in Colloid and Interface Science,v,TRUE,Chemical Engineering; Chemistry; Materials Science; Physics and Astronomy,,https://www.sciencedirect.com/journal/current-opinion-in-colloid-and-interface-science
Current Opinion in Critical Care,,TRUE,Medicine,,https://journals.lww.com/co-criticalcare/pages/default.aspx
Current Opinion in Electrochemistry,v,TRUE,Chemistry,,https://www.sciencedirect.com/journal/current-opinion-in-electrochemistry
Current Opinion in Environmental Science and Health,,TRUE,Environmental Science; Medicine,,https://www.sciencedirect.com/journal/current-opinion-in-environmental-science-and-health
Current Opinion in Environmental Sustainability,v,TRUE,Environmental Science; Social Sciences,,https://www.journals.elsevier.com/current-opinion-in-environmental-sustainability
Current Opinion in Food Science,,TRUE,Agricultural and Biological Sciences; Immunology and Microbiology,,https://www.journals.elsevier.com/current-opinion-in-food-science
Current Opinion in Genetics and Development,,TRUE,"Biochemistry, Genetics and Molecular Biology",,https://www.journals.elsevier.com/current-opinion-in-genetics-and-development
Current Opinion in Green and Sustainable Chemistry,v,TRUE,Chemical Engineering; Chemistry; Environmental Science,,https://www.journals.elsevier.com/current-opinion-in-green-and-sustainable-chemistry
Current Opinion in Hematology,,TRUE,Medicine,,https://journals.lww.com/co-hematology/pages/default.aspx
Current Opinion in HIV and AIDS,,TRUE,Immunology and Microbiology; Medicine; Nursing,,https://journals.lww.com/co-hivandaids/pages/default.aspx
Current Opinion in Immunology,,TRUE,Immunology and Microbiology; Medicine,,https://www.journals.elsevier.com/current-opinion-in-immunology/
Current Opinion in Infectious Diseases,,TRUE,Medicine,,https://journals.lww.com/co-infectiousdiseases/pages/default.aspx
Current Opinion in Insect Science,,TRUE,Agricultural and Biological Sciences,,https://www.journals.elsevier.com/current-opinion-in-insect-science
Current Opinion in Lipidology,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine; Nursing",,https://journals.lww.com/co-lipidology/pages/default.aspx
Current Opinion in Microbiology,,TRUE,Immunology and Microbiology; Medicine,,https://www.journals.elsevier.com/current-opinion-in-microbiology
Current Opinion in Neurobiology,,TRUE,Neuroscience,,https://www.journals.elsevier.com/current-opinion-in-neurobiology
Current Opinion in Neurology,,TRUE,Medicine; Neuroscience,,https://journals.lww.com/co-neurology/pages/default.aspx
Current Opinion in Oncology,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine",,https://journals.lww.com/co-oncology/pages/default.aspx
Current Opinion in Ophthalmology,,TRUE,Medicine,,https://journals.lww.com/co-ophthalmology/pages/default.aspx
Current Opinion in Pediatrics,,TRUE,Medicine,,http://journals.lww.com/co-pediatrics/pages/default.aspx
Current Opinion in Pharmacology,,TRUE,"Pharmacology, Toxicology and Pharmaceutics",,https://www.sciencedirect.com/journal/current-opinion-in-pharmacology
Current Opinion in Physiology,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine",,https://www.journals.elsevier.com/current-opinion-in-physiology
Current Opinion in Plant Biology,,TRUE,Agricultural and Biological Sciences,,https://www.journals.elsevier.com/current-opinion-in-plant-biology
Current Opinion in Psychiatry,,TRUE,Medicine,,https://journals.lww.com/co-psychiatry/pages/default.aspx
Current Opinion in Psychology,,TRUE,Psychology,,https://www.journals.elsevier.com/current-opinion-in-psychology
Current Opinion in Rheumatology,,TRUE,Medicine,,https://journals.lww.com/co-rheumatology/pages/default.aspx
Current Opinion in Solid State and Materials Science,v,TRUE,Materials Science,,https://www.journals.elsevier.com/current-opinion-in-solid-state-and-materials-science
Current Opinion in Structural Biology,,TRUE,"Biochemistry, Genetics and Molecular Biology",,https://www.journals.elsevier.com/current-opinion-in-structural-biology
Current Opinion in Systems Biology,,TRUE,"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics; Pharmacology, Toxicology and Pharmaceutics",,https://www.sciencedirect.com/journal/current-opinion-in-systems-biology
Current Opinion in Virology,,TRUE,Immunology and Microbiology,,https://www.sciencedirect.com/journal/current-opinion-in-virology
Current Osteoporosis Reports,,TRUE,Medicine,,https://www.springer.com/journal/11914
Current Pollution Reports,v,TRUE,Environmental Science,,https://www.springer.com/journal/40726
Current Psychiatry Reports,,TRUE,Medicine,,https://www.springer.com/journal/11920
Current Reviews in Musculoskeletal Medicine,,TRUE,Medicine,,https://www.springer.com/journal/12178/
Current Rheumatology Reports,,TRUE,Medicine,,https://www.springer.com/journal/11926
Current Topics in Behavioral Neurosciences,,TRUE,Neuroscience,,https://www.springer.com/series/7854
Current Treatment Options in Oncology,,TRUE,Medicine,,https://www.springer.com/journal/11864
Current Treatment Options in Psychiatry,,TRUE,Medicine; Psychology,,https://www.springer.com/journal/40501
"Cyberpsychology, Behavior, and Social Networking",,TRUE,Computer Science; Medicine; Psychology; Social Sciences,,https://home.liebertpub.com/publications/cyberpsychology-behavior-brand-social-networking/10/overview
Cybersecurity,v,TRUE,Computer Science,,https://cybersecurity.springeropen.com/
Cytokine and Growth Factor Reviews,,TRUE,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine",,https://www.sciencedirect.com/journal/cytokine-and-growth-factor-reviews
Cytokine: X,,TRUE,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine",,https://www.sciencedirect.com/journal/cytokine-x
Cytotherapy,,TRUE,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine",,https://www.journals.elsevier.com/cytotherapy
Data Mining and Knowledge Discovery,v,TRUE,Computer Science,,https://www.springer.com/journal/10618
Data Science and Engineering,v,TRUE,Computer Science; Engineering,,https://www.springer.com/journal/41019
Data Science Journal,v,TRUE,Computer Science,,https://datascience.codata.org/
Database : the journal of biological databases and curation,,TRUE,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Medicine",,https://academic.oup.com/database
Decision Making: Applications in Management and Engineering,v,TRUE,Decision Sciences,,https://www.dmame.rabek.org/index.php/dmame
Decision Support Systems,,TRUE,"Arts and Humanities; Business, Management and Accounting; Computer Science; Decision Sciences; Psychology",,https://www.journals.elsevier.com/decision-support-systems
Demographic Research,v,TRUE,Social Sciences,,https://www.demographic-research.org/
Demography,v,TRUE,Social Sciences,,https://read.dukeupress.edu/demography
Dental Materials,,TRUE,Dentistry; Engineering; Materials Science,,https://www.journals.elsevier.com/dental-materials
Depression Research and Treatment,,TRUE,Medicine; Psychology,,https://www.hindawi.com/journals/drt/
Dermatologic Clinics,,TRUE,Medicine,,https://www.journals.elsevier.com/dermatologic-clinics
Dermatology,,TRUE,Medicine,,https://www.karger.com/Journal/Home/224164
Dermatology and Therapy,,TRUE,Medicine,,https://www.springer.com/journal/13555
Desalination,v,TRUE,Chemical Engineering; Chemistry; Engineering; Environmental Science; Materials Science,,https://www.sciencedirect.com/journal/desalination
Design Studies,v,TRUE,Arts and Humanities; Computer Science; Engineering; Social Sciences,,https://www.journals.elsevier.com/design-studies
"Designs, Codes, and Cryptography",v,TRUE,Computer Science; Mathematics,,https://www.springer.com/journal/10623
Development and Psychopathology,,TRUE,Medicine; Psychology,,https://www.cambridge.org/core/journals/development-and-psychopathology
Developmental Biology,,TRUE,"Biochemistry, Genetics and Molecular Biology",,https://www.sciencedirect.com/journal/developmental-biology
Developmental Cognitive Neuroscience,,TRUE,Neuroscience,,https://www.journals.elsevier.com/developmental-cognitive-neuroscience
Developmental Review,,TRUE,Medicine; Psychology; Social Sciences,,https://www.journals.elsevier.com/developmental-review
