page_id,violations,passes,total_checks,failure_rate,id,source_id,rank,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs_2022,total_docs_3years,total_refs,total_cites_3years,citable_docs_3years,cites_per_doc_2years,ref_per_doc,country,region,publisher,coverage,categories,areas,url,is_filter
2030_home,2,85,87,0.022988505747126436,2030,sjr_21100406908,2030,European Urology Focus,journal,24054569,"1,548",Q1,43,299,615,8605,2509,468,"4,09","28,78",Netherlands,Western Europe,Elsevier,2015-2022,Urology (Q1),Medicine,https://www.eu-focus.europeanurology.com/,False
2031_home,6,603,609,0.009852216748768473,2031,sjr_21461,2031,International Journal for Equity in Health,journal,14759276,"1,548",Q1,71,179,685,8981,3384,661,"4,76","50,17",United Kingdom,Western Europe,BioMed Central Ltd.,2002-2022,"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)",Medicine,https://equityhealthj.biomedcentral.com/,False
2032_home,2,85,87,0.022988505747126436,2032,sjr_25323,2032,Liver Transplantation,journal,"15276465, 15276473","1,548",Q1,164,276,699,5926,2086,403,"2,77","21,47",United Kingdom,Western Europe,John Wiley and Sons,2000-2022,Hepatology (Q1); Surgery (Q1); Transplantation (Q1),Medicine,https://aasldpubs.onlinelibrary.wiley.com/journal/15276473,False
2033_home,7,1444,1451,0.004824259131633356,2033,sjr_21101030810,2033,JMIR Public Health and Surveillance,journal,23692960,"1,547",Q1,49,193,519,9284,3801,515,"8,05","48,10",Canada,Northern America,JMIR Publications Inc.,2015-2022,"Health Informatics (Q1); Public Health, Environmental and Occupational Health (Q1)",Medicine,https://publichealth.jmir.org/,False
2034_home,8,575,583,0.0137221269296741,2034,sjr_21100428207,2034,Journal of the Pediatric Infectious Diseases Society,journal,"20487207, 20487193","1,547",Q1,43,140,455,1608,1374,419,"3,22","11,49",United States,Northern America,Oxford University Press,2012-2022,"Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Pediatrics, Perinatology and Child Health (Q1)",Medicine,https://academic.oup.com/jpids,False
2035_home,4,117,121,0.03305785123966942,2035,sjr_18408,2035,Biochimica et Biophysica Acta - Molecular Cell Research,journal,"18792596, 01674889","1,546",Q1,191,139,572,12651,3062,565,"5,17","91,01",Netherlands,Western Europe,Elsevier,1982-2023,Cell Biology (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology",https://www.journals.elsevier.com/biochimica-et-biophysica-acta-molecular-cell-research,False
2036_home,2,847,849,0.002355712603062426,2036,sjr_21100897795,2036,Cell Death Discovery,journal,20587716,"1,545",Q1,49,488,595,24105,3863,578,"6,58","49,40",United Kingdom,Western Europe,Nature Publishing Group,2015-2022,Cancer Research (Q1); Cell Biology (Q1); Cellular and Molecular Neuroscience (Q1); Immunology (Q2),"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Neuroscience",https://www.nature.com/cddiscovery/,False
2037_home,2,431,433,0.004618937644341801,2037,sjr_19700188391,2037,Current Topics in Behavioral Neurosciences,journal,"18663389, 18663370","1,545",Q1,68,141,159,16100,421,23,"2,74","114,18",Germany,Western Europe,Springer,2009-2022,Behavioral Neuroscience (Q1),Neuroscience,https://www.springer.com/series/7854,False
2039_home,2,85,87,0.022988505747126436,2039,sjr_12057,2039,Media Psychology,journal,"1532785X, 15213269","1,545",Q1,89,52,108,3225,619,107,"5,67","62,02",United States,Northern America,Routledge,1999-2022,Applied Psychology (Q1); Communication (Q1); Social Psychology (Q1),Psychology; Social Sciences,https://www.tandfonline.com/toc/hmep20/current,False
2041_home,9,802,811,0.011097410604192354,2041,sjr_16440,2041,Journal of Translational Medicine,journal,14795876,"1,544",Q1,132,619,1388,34435,9609,1342,"6,83","55,63",United Kingdom,Western Europe,BioMed Central Ltd.,2003-2022,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine",https://translational-medicine.biomedcentral.com/,False
2042_home,1,308,309,0.003236245954692557,2042,sjr_24782,2042,Neural Computation,journal,"08997667, 1530888X","1,544",Q1,174,77,277,3987,1285,113,"3,06","51,78",United States,Northern America,MIT Press Journals,1995-2022,Arts and Humanities (miscellaneous) (Q1); Cognitive Neuroscience (Q1),Arts and Humanities; Neuroscience,https://www.mitpressjournals.org/loi/neco,False
2043_home,2,76,78,0.02564102564102564,2043,sjr_29214,2043,Transactions of the Institute of British Geographers,journal,"00202754, 14755661","1,544",Q1,121,102,205,8164,959,201,"4,35","80,04",United Kingdom,Western Europe,Wiley-Blackwell,1976-2022,"Earth-Surface Processes (Q1); Geography, Planning and Development (Q1)",Earth and Planetary Sciences; Social Sciences,https://rgs-ibg.onlinelibrary.wiley.com/journal/14755661,False
2044_home,4,117,121,0.03305785123966942,2044,sjr_21767,2044,Progress in Neuro-Psychopharmacology and Biological Psychiatry,journal,"18784216, 02785846","1,543",Q1,142,155,811,13425,4775,802,"6,11","86,61",United States,Northern America,Elsevier,1982-2023,Biological Psychiatry (Q1); Pharmacology (Q1),"Neuroscience; Pharmacology, Toxicology and Pharmaceutics",https://www.journals.elsevier.com/progress-in-neuro-psychopharmacology-and-biological-psychiatry,False
2045_home,3,36,39,0.07692307692307693,2045,sjr_11000153733,2045,IEEE Transactions on Circuits and Systems I: Regular Papers,journal,15498328,"1,542",Q1,173,448,1323,16690,7107,1308,"5,51","37,25",United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,"1981, 2004-2022",Electrical and Electronic Engineering (Q1); Hardware and Architecture (Q1),Computer Science; Engineering,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8919,False
2046_home,1,220,221,0.004524886877828055,2046,sjr_21100829907,2046,American Journal of Health Economics,journal,"23323493, 23323507","1,541",Q1,18,20,55,1082,160,54,"3,21","54,10",United States,Northern America,University of Chicago Press,2015-2022,"Economics, Econometrics and Finance (miscellaneous) (Q1); Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)","Economics, Econometrics and Finance; Medicine",https://www.mitpressjournals.org/loi/ajhe,False
2047_home,6,462,468,0.01282051282051282,2047,sjr_12461,2047,Journal of the National Cancer Institute. Monographs,journal,"10526773, 17456614","1,541",Q1,91,23,58,762,281,54,"4,43","33,13",United States,Northern America,Oxford University Press,"1992-2001, 2003-2008, 2010-2015, 2017, 2019-2022",Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine",https://academic.oup.com/jncimono,False
204_home,2,85,87,0.022988505747126436,204,sjr_21101027628,204,Cell Reports Medicine,journal,26663791,"5,841",Q1,37,285,304,12144,3640,295,"11,97","42,61",United States,Northern America,Cell Press,2020-2022,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology",https://www.cell.com/cell-reports-medicine/home,False
2050_home,8,618,626,0.012779552715654952,2050,sjr_21100907393,2050,Environmental Microbiomes,journal,25246372,"1,538",Q1,46,60,51,4862,363,50,"7,37","81,03",United Kingdom,Western Europe,BioMed Central Ltd.,2019-2022,Applied Microbiology and Biotechnology (Q1); Genetics (Q1); Microbiology (Q1),"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology",https://environmentalmicrobiome.biomedcentral.com/,False
2051_home,2,85,87,0.022988505747126436,2051,sjr_22267,2051,Human Mutation,journal,"10981004, 10597794","1,538",Q1,176,190,534,8618,2185,510,"3,81","45,36",United States,Northern America,Wiley-Liss Inc.,1992-2022,Genetics (Q1); Genetics (clinical) (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine",https://onlinelibrary.wiley.com/journal/10981004,False
2052_home,5,441,446,0.011210762331838564,2052,sjr_21100859815,2052,Sports Medicine - Open,journal,21989761,"1,538",Q1,40,148,208,10212,1209,203,"4,57","69,00",United Kingdom,Western Europe,Springer,2015-2022,"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1)",Health Professions; Medicine,https://sportsmedicine-open.springeropen.com/,False
2053_home,210,2133,2343,0.08962868117797695,2053,sjr_21100978391,2053,Cells,journal,20734409,"1,537",Q1,102,4130,7962,363469,53183,7862,"5,98","88,01",Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2011-2022,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology",https://www.mdpi.com/journal/cells,False
2054_home,3,512,515,0.005825242718446602,2054,sjr_26786,2054,Clinical Chemistry,journal,"15308561, 00099147","1,536",Q1,235,252,852,3788,3086,544,"3,82","15,03",United States,Northern America,American Association for Clinical Chemistry Inc.,1955-2022,Biochemistry (medical) (Q1); Clinical Biochemistry (Q1); Medicine (miscellaneous) (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine",https://academic.oup.com/clinchem,False
2058_home,6,92,98,0.061224489795918366,2058,sjr_19700182917,2058,Biofabrication,journal,"17585082, 17585090","1,534",Q1,104,120,363,8173,3588,361,"9,20","68,11",United Kingdom,Western Europe,IOP Publishing Ltd.,2009-2022,Biochemistry (Q1); Bioengineering (Q1); Biomaterials (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Medicine (miscellaneous) (Q1),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science; Medicine",https://iopscience.iop.org/journal/1758-5090,False
205_home,2,85,87,0.022988505747126436,205,sjr_16512,205,Review of Educational Research,journal,"00346543, 19351046","5,804",Q1,174,37,72,4914,1345,71,"15,24","132,81",United States,Northern America,SAGE Publications,1931-2022,Education (Q1),Social Sciences,https://journals.sagepub.com/home/rer,False
2061_home,69,980,1049,0.0657769304099142,2061,sjr_20440,2061,Journal of the American College of Surgeons,journal,"18791190, 10727515","1,534",Q1,195,351,985,37,2608,537,"2,47","0,11",United States,Northern America,Lippincott Williams and Wilkins,1994-2022,Surgery (Q1),Medicine,https://www.journalacs.org/,False
2062_home,2,85,87,0.022988505747126436,2062,sjr_17408,2062,Multiple Sclerosis Journal,journal,"13524585, 14770970","1,534",Q1,147,296,840,8162,3543,684,"4,39","27,57",United Kingdom,Western Europe,SAGE Publications,1995-2022,Neurology (Q1); Neurology (clinical) (Q1),Medicine; Neuroscience,https://journals.sagepub.com/home/msj,False
2063_home,2,85,87,0.022988505747126436,2063,sjr_26151,2063,Philosophy and Phenomenological Research,journal,"00318205, 19331592","1,534",Q1,48,124,278,5554,454,247,"1,59","44,79",United States,Northern America,Wiley-Blackwell,"1970, 1988, 2006, 2008-2022",History and Philosophy of Science (Q1); Philosophy (Q1),Arts and Humanities,https://onlinelibrary.wiley.com/journal/19331592,False
2064_home,2,85,87,0.022988505747126436,2064,sjr_29187,2064,Cancer Science,journal,"13497006, 13479032","1,533",Q1,157,407,1220,16770,7164,1214,"5,50","41,20",United States,Northern America,Wiley-Blackwell,2003-2022,Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine",https://onlinelibrary.wiley.com/journal/13497006,False
2067_home,2,793,795,0.0025157232704402514,2067,sjr_21100870831,2067,npj Aging and Mechanisms of Disease,journal,20563973,"1,531",Q1,28,0,47,0,222,47,"4,60","0,00",United Kingdom,Western Europe,Nature Publishing Group,2015-2021,Aging (Q1); Geriatrics and Gerontology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine",https://www.nature.com/npjamd/,False
2068_home,7,547,554,0.01263537906137184,2068,sjr_21100203714,2068,Skeletal Muscle,journal,20445040,"1,530",Q1,53,26,93,1647,439,93,"4,83","63,35",United Kingdom,Western Europe,BioMed Central Ltd.,2011-2022,Cell Biology (Q1); Molecular Biology (Q1); Orthopedics and Sports Medicine (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine",https://skeletalmusclejournal.biomedcentral.com/,False
2069_home,6,527,533,0.01125703564727955,2069,sjr_19400158804,2069,Translational Stroke Research,journal,"18684483, 0868601X","1,530",Q1,66,170,270,8294,1875,259,"7,40","48,79",United States,Northern America,Springer,2010-2022,Cardiology and Cardiovascular Medicine (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1),Medicine; Neuroscience,https://www.springer.com/journal/12975,False
206_home,6,578,584,0.010273972602739725,206,sjr_18567,206,Fungal Diversity,journal,"15602745, 18789129","5,784",Q1,113,18,69,7054,1494,67,"17,49","391,89",Netherlands,Western Europe,Springer,1998-2022,"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)",Agricultural and Biological Sciences; Environmental Science,https://www.springer.com/journal/13225,False
2074_home,2,85,87,0.022988505747126436,2074,sjr_21100316063,2074,European Heart Journal: Acute Cardiovascular Care,journal,"20488734, 20488726","1,527",Q1,45,0,29,0,145,28,"9,50","0,00",United Kingdom,Western Europe,Oxford University Press,2012-2020,Cardiology and Cardiovascular Medicine (Q1); Critical Care and Intensive Care Medicine (Q1); Medicine (miscellaneous) (Q1),Medicine,https://journals.sagepub.com/home/acc,False
2077_home,6,357,363,0.01652892561983471,2077,sjr_21101041869,2077,BMJ Open Science,journal,23988703,"1,525",Q1,8,9,31,370,148,31,"4,50","41,11",United Kingdom,Western Europe,BMJ Publishing Group,2017-2022,Medicine (miscellaneous) (Q1),Medicine,https://openscience.bmj.com/,False
2078_home,4,117,121,0.03305785123966942,2078,sjr_35824,2078,Agricultural Water Management,journal,03783774,"1,524",Q1,152,635,1604,39111,11597,1597,"7,21","61,59",Netherlands,Western Europe,Elsevier,"1976-1977, 1979-2022",Agronomy and Crop Science (Q1); Earth-Surface Processes (Q1); Soil Science (Q1); Water Science and Technology (Q1),Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science,https://www.sciencedirect.com/journal/agricultural-water-management,False
207_home,11,385,396,0.027777777777777776,207,sjr_22126,207,Genes and Development,journal,"15495477, 08909369","5,769",Q1,467,87,376,5564,3809,373,"9,28","63,95",United States,Northern America,Cold Spring Harbor Lab Press,1987-2022,Developmental Biology (Q1); Genetics (Q1),"Biochemistry, Genetics and Molecular Biology",http://genesdev.cshlp.org/,False
2080_home,7,343,350,0.02,2080,sjr_20500195056,2080,Journal of Epidemiology and Global Health,journal,"22106014, 22106006","1,524",Q1,34,63,175,2053,1120,158,"6,64","32,59",Switzerland,Western Europe,Springer,2011-2022,Epidemiology (Q1),Medicine,https://www.atlantis-press.com/journals/jegh,False
2082_home,2,85,87,0.022988505747126436,2082,sjr_19900191715,2082,Wiley Interdisciplinary Reviews: Cognitive Science,journal,"19395086, 19395078","1,523",Q1,63,49,73,5956,396,73,"4,51","121,55",United States,Northern America,John Wiley and Sons,2010-2022,Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1); Psychology (miscellaneous) (Q1),Medicine; Neuroscience; Psychology,https://onlinelibrary.wiley.com/journal/19395086,False
2083_home,4,117,121,0.03305785123966942,2083,sjr_21100414802,2083,Genes and Diseases,journal,23523042,"1,522",Q1,47,348,210,22624,1381,198,"6,39","65,01",Netherlands,Western Europe,Elsevier,2014-2022,Biochemistry (Q1); Cell Biology (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine",https://www.journals.elsevier.com/genes-and-diseases,False
2084_home,1,233,234,0.004273504273504274,2084,sjr_23985,2084,Neurobiology of Aging,journal,"01974580, 15581497","1,521",Q1,205,187,872,11879,3959,864,"4,15","63,52",United States,Northern America,Elsevier,1980-2022,Aging (Q1); Developmental Biology (Q1); Geriatrics and Gerontology (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience",http://www.elsevier.com/wps/find/journaldescription.cws_home/525480/description#description,False
2085_home,10,722,732,0.01366120218579235,2085,sjr_13345,2085,Nutrition Reviews,journal,"00296643, 17534887","1,521",Q1,167,154,276,13359,2125,274,"7,08","86,75",United States,Northern America,Oxford University Press,1942-2022,Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1),Medicine; Nursing,https://academic.oup.com/nutritionreviews,False
2088_home,2,76,78,0.02564102564102564,2088,sjr_25678,2088,Journal of Research on Adolescence,journal,"10508392, 15327795","1,518",Q1,107,128,248,8458,1111,246,"4,04","66,08",United Kingdom,Western Europe,Wiley-Blackwell,"1993, 1996-2022",Behavioral Neuroscience (Q1); Cultural Studies (Q1); Developmental and Educational Psychology (Q1); Social Sciences (miscellaneous) (Q1),Neuroscience; Psychology; Social Sciences,https://onlinelibrary.wiley.com/journal/15327795,False
208_home,3,36,39,0.07692307692307693,208,sjr_25037,208,IEEE Transactions on Evolutionary Computation,journal,1089778X,"5,767",Q1,199,234,245,6634,4366,242,"13,83","28,35",United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,1997-2022,Computational Theory and Mathematics (Q1); Software (Q1); Theoretical Computer Science (Q1),Computer Science; Mathematics,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=4235,False
2093_home,2,85,87,0.022988505747126436,2093,sjr_21101038509,2093,Journal of Geophysical Research F: Earth Surface,journal,"21699011, 21699003","1,516",Q1,125,159,479,12404,2108,470,"3,98","78,01",United States,Northern America,Wiley-Blackwell,2004-2022,Earth-Surface Processes (Q1); Geophysics (Q1),Earth and Planetary Sciences,https://agupubs.onlinelibrary.wiley.com/journal/21699011?utm_source=google&utm_medium=paidsearch&utm_campaign=R3MR425&utm_content=EarthSpaceEnvirSci&gclid=CjwKCAiAy_CcBhBeEiwAcoMRHPiM7G3vpm1z_Bl9T-akU9LpXUs0rQVbWfiAM1OVFXV0CYTSht091BoCOhYQAvD_BwE,False
2094_home,2,85,87,0.022988505747126436,2094,sjr_12700,2094,Nucleus,journal,"19491042, 19491034","1,516",Q1,53,20,56,1955,182,48,"3,49","97,75",United States,Northern America,Landes Bioscience,2010-2022,Cell Biology (Q1); Medicine (miscellaneous) (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine",https://www.tandfonline.com/toc/kncl20/current,False
2095_home,3,36,39,0.07692307692307693,2095,sjr_25535,2095,IEEE Transactions on Visualization and Computer Graphics,journal,10772626,"1,515",Q1,158,612,963,25123,5676,935,"5,58","41,05",United States,Northern America,IEEE Computer Society,1995-2022,Computer Graphics and Computer-Aided Design (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1),Computer Science,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=2945,False
2099_home,3,36,39,0.07692307692307693,2099,sjr_12178,2099,Journal of Lightwave Technology,journal,"15582213, 07338724","1,514",Q1,213,968,2439,31254,13366,2420,"5,38","32,29",United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,1983-2022,"Atomic and Molecular Physics, and Optics (Q1)",Physics and Astronomy,https://ieeexplore.ieee.org/xpl/aboutJournal.jsp?punumber=50,False
20_home,0,349,349,0.0,20,sjr_110092,20,Morbidity and Mortality Weekly Report,journal,"01492195, 1545861X","16,786",Q1,247,218,931,1309,19129,747,"25,69","6,00",United States,Northern America,Department of Health and Human Services,1981-2022,"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)",Environmental Science; Health Professions; Medicine; Social Sciences,http://www.cdc.gov/mmwr/,False
2100_home,2,85,87,0.022988505747126436,2100,sjr_19700175160,2100,Therapeutic Advances in Medical Oncology,journal,"17588340, 17588359","1,514",Q1,61,178,505,10110,2595,493,"4,67","56,80",United States,Northern America,SAGE Publications,2009-2022,Oncology (Q1),Medicine,http://journals.sagepub.com/home/tam,False
2101_home,2,85,87,0.022988505747126436,2101,sjr_19700187630,2101,Critical Studies in Education,journal,"17508495, 17508487","1,513",Q1,42,53,113,2884,536,109,"4,92","54,42",United Kingdom,Western Europe,Taylor and Francis Ltd.,2008-2022,Education (Q1),Social Sciences,https://www.tandfonline.com/toc/rcse20/current,False
2102_home,5,1539,1544,0.003238341968911917,2102,sjr_21100893578,2102,JMIR mHealth and uHealth,journal,22915222,"1,513",Q1,84,202,1308,11249,8123,1305,"5,51","55,69",Canada,Northern America,JMIR Publications Inc.,2013-2022,Health Informatics (Q1),Medicine,https://mhealth.jmir.org/,False
2104_home,4,117,121,0.03305785123966942,2104,sjr_12100156754,2104,Sport Management Review,journal,14413523,"1,513",Q1,70,58,164,4026,1065,163,"5,80","69,41",United Kingdom,Western Europe,Taylor and Francis Ltd.,1998-2022,"Business and International Management (Q1); Management Science and Operations Research (Q1); Marketing (Q1); Organizational Behavior and Human Resource Management (Q1); Sports Science (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)","Business, Management and Accounting; Decision Sciences; Health Professions",https://www.sciencedirect.com/journal/sport-management-review,False
2105_home,7,528,535,0.013084112149532711,2105,sjr_17058,2105,Nicotine and Tobacco Research,journal,"1469994X, 14622203","1,512",Q1,124,271,896,7971,3728,799,"4,15","29,41",United Kingdom,Western Europe,Oxford University Press,1999-2022,"Public Health, Environmental and Occupational Health (Q1)",Medicine,https://academic.oup.com/ntr,False
2106_home,2,85,87,0.022988505747126436,2106,sjr_21100778765,2106,Annual Review of Linguistics,journal,"23339683, 23339691","1,511",Q1,26,26,71,2600,317,68,"3,90","100,00",United States,Northern America,Annual Reviews Inc.,2015-2022,Linguistics and Language (Q1),Social Sciences,https://www.annualreviews.org/journal/linguistics,False
2107_home,2,85,87,0.022988505747126436,2107,sjr_5700176815,2107,Journalism,journal,"14648849, 17413001","1,511",Q1,76,235,462,12274,1844,444,"4,09","52,23",United Kingdom,Western Europe,SAGE Publications,2000-2022,Arts and Humanities (miscellaneous) (Q1); Communication (Q1),Arts and Humanities; Social Sciences,https://journals.sagepub.com/home/jou,False
2108_home,2,85,87,0.022988505747126436,2108,sjr_100147024,2108,Qualitative Research,journal,14687941,"1,511",Q1,86,115,199,5883,825,196,"3,97","51,16",United Kingdom,Western Europe,SAGE Publications,2001-2022,History and Philosophy of Science (Q1); Social Sciences (miscellaneous) (Q1),Arts and Humanities; Social Sciences,https://journals.sagepub.com/home/qrj,False
210_home,2,85,87,0.022988505747126436,210,sjr_12812,210,Personality and Social Psychology Review,journal,"10888683, 15327957","5,709",Q1,177,19,43,3643,716,43,"12,86","191,74",United States,Northern America,SAGE Publications,1997-2022,Social Psychology (Q1),Psychology,https://journals.sagepub.com/home/psr,False
2110_home,4,117,121,0.03305785123966942,2110,sjr_29309,2110,Critical Reviews in Oncology/Hematology,journal,10408428,"1,510",Q1,137,203,644,20544,3767,632,"5,85","101,20",Ireland,Western Europe,Elsevier,1983-2022,Geriatrics and Gerontology (Q1); Hematology (Q1); Oncology (Q1),Medicine,https://www.sciencedirect.com/journal/critical-reviews-in-oncology-hematology,False
2111_home,2,85,87,0.022988505747126436,2111,sjr_21100468817,2111,Journal of Sustainable Cement-Based Materials,journal,"21650373, 21650381","1,510",Q1,29,88,59,5443,386,58,"6,29","61,85",United Kingdom,Western Europe,Taylor and Francis Ltd.,2012-2022,Ceramics and Composites (Q1); Waste Management and Disposal (Q1),Environmental Science; Materials Science,https://www.tandfonline.com/loi/tscm20,False
2112_home,2,85,87,0.022988505747126436,2112,sjr_24790,2112,Journal of the European Academy of Dermatology and Venereology,journal,"09269959, 14683083","1,510",Q1,123,860,2279,17129,8119,932,"3,74","19,92",United States,Northern America,Wiley-Blackwell,1991-2022,Dermatology (Q1); Infectious Diseases (Q1),Medicine,https://onlinelibrary.wiley.com/journal/14683083,False
2114_home,4,117,121,0.03305785123966942,2114,sjr_21100897791,2114,Vaccine: X,journal,25901362,"1,509",Q1,13,111,95,4216,329,95,"3,48","37,98",United Kingdom,Western Europe,Elsevier,2019-2022,"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Molecular Medicine (Q1); Public Health, Environmental and Occupational Health (Q1); Veterinary (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Veterinary",https://www.sciencedirect.com/journal/vaccine-x,False
2115_home,4,117,121,0.03305785123966942,2115,sjr_21100936579,2115,Current Opinion in Environmental Science and Health,journal,24685844,"1,508",Q1,42,81,219,4596,1703,202,"8,40","56,74",Netherlands,Western Europe,Elsevier,2018-2022,"Environmental Chemistry (Q1); Health, Toxicology and Mutagenesis (Q1); Public Health, Environmental and Occupational Health (Q1)",Environmental Science; Medicine,https://www.sciencedirect.com/journal/current-opinion-in-environmental-science-and-health,False
2116_home,4,117,121,0.03305785123966942,2116,sjr_21722,2116,Biochimica et Biophysica Acta - Molecular Basis of Disease,journal,09254439,"1,507",Q1,173,197,782,14507,4943,771,"6,32","73,64",Netherlands,Western Europe,Elsevier,1990-2022,Molecular Biology (Q1); Molecular Medicine (Q1),"Biochemistry, Genetics and Molecular Biology",https://www.sciencedirect.com/journal/biochimica-et-biophysica-acta-bba-molecular-basis-of-disease,False
2117_home,2,85,87,0.022988505747126436,2117,sjr_23826,2117,Journal of Cardiac Failure,journal,"10719164, 15328414","1,507",Q1,117,239,591,6363,1752,396,"3,14","26,62",United States,Northern America,Churchill Livingstone,1994-2022,Cardiology and Cardiovascular Medicine (Q1),Medicine,https://www.onlinejcf.com/,False
2118_home,6,541,547,0.010968921389396709,2118,sjr_14989,2118,Current Neurology and Neuroscience Reports,journal,"15284042, 15346293","1,506",Q1,84,80,241,6547,1474,241,"5,63","81,84",United States,Northern America,Current Medicine Group,2001-2022,Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1),Medicine; Neuroscience,https://link.springer.com/journal/11910,False
2119_home,2,85,87,0.022988505747126436,2119,sjr_4700152266,2119,Econometrics Journal,journal,13684221,"1,506",Q1,41,24,82,950,196,78,"1,81","39,58",United Kingdom,Western Europe,Wiley-Blackwell,2006-2021,Economics and Econometrics (Q1),"Economics, Econometrics and Finance",https://onlinelibrary.wiley.com/journal/1368423x,False
2120_home,2,76,78,0.02564102564102564,2120,sjr_25610,2120,International Endodontic Journal,journal,"13652591, 01432885","1,506",Q1,139,161,562,13173,2856,493,"4,57","81,82",United Kingdom,Western Europe,Wiley-Blackwell,"1967-1972, 1974-2022",Dentistry (miscellaneous) (Q1),Dentistry,https://onlinelibrary.wiley.com/journal/13652591,False
2121_home,4,117,121,0.03305785123966942,2121,sjr_20552,2121,Progress in Cardiovascular Diseases,journal,"18731740, 00330620, 15328643","1,506",Q1,115,99,293,5809,2215,238,"8,00","58,68",United Kingdom,Western Europe,W.B. Saunders Ltd,1958-2022,Cardiology and Cardiovascular Medicine (Q1),Medicine,https://www.sciencedirect.com/journal/progress-in-cardiovascular-diseases,False
2123_home,4,117,121,0.03305785123966942,2123,sjr_25290,2123,International Journal of Drug Policy,journal,"18734758, 09553959","1,504",Q1,90,295,898,15589,4302,852,"4,23","52,84",Netherlands,Western Europe,Elsevier,1998-2022,Health Policy (Q1); Medicine (miscellaneous) (Q1),Medicine,https://www.journals.elsevier.com/international-journal-of-drug-policy,False
2125_home,4,117,121,0.03305785123966942,2125,sjr_21100896357,2125,Contraception: X,journal,25901516,"1,503",Q1,8,18,66,460,156,66,"2,62","25,56",United States,Northern America,Elsevier,2019-2022,Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1),Medicine,https://www.sciencedirect.com/journal/contraception-x,False
2126_home,2,85,87,0.022988505747126436,2126,sjr_22104,2126,Evolution; international journal of organic evolution,journal,"15585646, 00143820","1,503",Q1,213,244,682,17462,2022,594,"2,70","71,57",United States,Northern America,Wiley-Blackwell,"1948-1949, 1971-1978, 1980, 1982-2022","Agricultural and Biological Sciences (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology",https://onlinelibrary.wiley.com/journal/15585646,False
