domain_name,domain_type,agency,organization_name,city,state,security_contact_email,url,name,website_id,page_type,page_id
samhsa.gov,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,Rockville,MD,responsibledisclosure@hhs.gov,https://samhsa.gov,samhsa.gov,samhsa-gov,home,0
selectagents.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov,https://selectagents.gov,selectagents.gov,selectagents-gov,home,0
simplereport.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov,https://simplereport.gov,simplereport.gov,simplereport-gov,home,0
smokefree.gov,Federal - Executive,Department of Health and Human Services,"National Cancer Institute, NIH",Rockville,MD,responsibledisclosure@hhs.gov,https://smokefree.gov,smokefree.gov,smokefree-gov,home,0
stopalcoholabuse.gov,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,Rockville,MD,responsibledisclosure@hhs.gov,https://stopalcoholabuse.gov,stopalcoholabuse.gov,stopalcoholabuse-gov,home,0
stopbullying.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary,Washington,DC,responsibledisclosure@hhs.gov,https://stopbullying.gov,stopbullying.gov,stopbullying-gov,home,0
surgeongeneral.gov,Federal - Executive,Department of Health and Human Services,"Office of the Surgeon General, Office of the Secretary",Washington,DC,responsibledisclosure@hhs.gov,https://surgeongeneral.gov,surgeongeneral.gov,surgeongeneral-gov,home,0
thebraininitiative.gov,Federal - Executive,Department of Health and Human Services,National Institute of Neurological Disorders and Stroke,Bethesda,MD,NINDSISSO@ninds.nih.gov,https://thebraininitiative.gov,thebraininitiative.gov,thebraininitiative-gov,home,0
therealcost.gov,Federal - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,Silver Spring,MD,ResponsibleDisclosure@hhs.gov,https://therealcost.gov,therealcost.gov,therealcost-gov,home,0
thisfreelife.gov,Federal - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,Silver Spring,MD,ResponsibleDisclosure@hhs.gov,https://thisfreelife.gov,thisfreelife.gov,thisfreelife-gov,home,0
tobacco.gov,Federal - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,Silver Spring,MD,ResponsibleDisclosure@hhs.gov,https://tobacco.gov,tobacco.gov,tobacco-gov,home,0
tox21.gov,Federal - Executive,Department of Health and Human Services,National Center for Advancing Translational Sciences,Rockville,MD,ResponsibleDisclosure@hhs.gov,https://tox21.gov,tox21.gov,tox21-gov,home,0
usbm.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov,https://usbm.gov,usbm.gov,usbm-gov,home,0
usphs.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary,Washington,DC,responsibledisclosure@hhs.gov,https://usphs.gov,usphs.gov,usphs-gov,home,0
vaccine.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov,https://vaccine.gov,vaccine.gov,vaccine-gov,home,0
vaccines.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,responsibledisclosure@hhs.gov,https://vaccines.gov,vaccines.gov,vaccines-gov,home,0
vacine.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov,https://vacine.gov,vacine.gov,vacine-gov,home,0
vacines.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov,https://vacines.gov,vacines.gov,vacines-gov,home,0
vacuna.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov,https://vacuna.gov,vacuna.gov,vacuna-gov,home,0
vacunas.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov,https://vacunas.gov,vacunas.gov,vacunas-gov,home,0
visforvaccinated.gov,Federal - Executive,Department of Health and Human Services,"Office of the Assistant Secretary for Health, Office of the Secretary",Washington,DC,responsibledisclosure@hhs.gov,https://visforvaccinated.gov,visforvaccinated.gov,visforvaccinated-gov,home,0
whaging.gov,Federal - Executive,Department of Health and Human Services,Administration for Community Living,Washington,DC,responsibledisclosure@hhs.gov,https://whaging.gov,whaging.gov,whaging-gov,home,0
whitehouseconferenceonaging.gov,Federal - Executive,Department of Health and Human Services,Administration for Community Living,Washington,DC,responsibledisclosure@hhs.gov,https://whitehouseconferenceonaging.gov,whitehouseconferenceonaging.gov,whitehouseconferenceonaging-gov,home,0
womenshealth.gov,Federal - Executive,Department of Health and Human Services,"Office of Public Health and Science, Office on Women's Health",Washington,DC,responsibledisclosure@hhs.gov,https://womenshealth.gov,womenshealth.gov,womenshealth-gov,home,0
youth.gov,Federal - Executive,Department of Health and Human Services,"Assistant Secretary for Planning and Evaluation, Office of the Secretary",Washington,DC,responsibledisclosure@hhs.gov,https://youth.gov,youth.gov,youth-gov,home,0
biometrics.gov,Federal - Executive,Department of Homeland Security,US-VISIT,Arlington,VA,IS2OSecurity@hq.dhs.gov,https://biometrics.gov,biometrics.gov,biometrics-gov,home,0
cbp.gov,Federal - Executive,Department of Homeland Security,U.S. Customs and Border Protection,Washington,DC,CBPSOC@cbp.dhs.gov,https://cbp.gov,cbp.gov,cbp-gov,home,0
cisa.gov,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Washington,DC,ContactOCIO@cisa.dhs.gov,https://cisa.gov,cisa.gov,cisa-gov,home,0
cpnireporting.gov,Federal - Executive,Department of Homeland Security,United States Secret Service,Washington,DC,megan.mcgraw@usss.dhs.gov,https://cpnireporting.gov,cpnireporting.gov,cpnireporting-gov,home,0
cyber.gov,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Washington,DC,IS2OSecurity@hq.dhs.gov,https://cyber.gov,cyber.gov,cyber-gov,home,0
cybersecurity.gov,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Washington,DC,IS2OSecurity@hq.dhs.gov,https://cybersecurity.gov,cybersecurity.gov,cybersecurity-gov,home,0
dhs.gov,Federal - Executive,Department of Homeland Security,Headquarters,Washington,DC,postmaster@dhs.gov,https://dhs.gov,dhs.gov,dhs-gov,home,0
disasterassistance.gov,Federal - Executive,Department of Homeland Security,Federal Emergency Management Agency,Bluemont,VA,fema-nosc-cyber@fema.dhs.gov,https://disasterassistance.gov,disasterassistance.gov,disasterassistance-gov,home,0
dns.gov,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Arlington,VA,dotgov@cloudflare.com,https://dns.gov,dns.gov,dns-gov,home,0
dotgov.gov,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Arlington,VA,help@get.gov,https://dotgov.gov,dotgov.gov,dotgov-gov,home,0
e-verify.gov,Federal - Executive,Department of Homeland Security,USCIS,Washington,DC,jeffrey.y.oppong@uscis.dhs.gov,https://e-verify.gov,e-verify.gov,e-verify-gov,home,0
everify.gov,Federal - Executive,Department of Homeland Security,USCIS,Washington,DC,jeffrey.y.oppong@uscis.dhs.gov,https://everify.gov,everify.gov,everify-gov,home,0
evus.gov,Federal - Executive,Department of Homeland Security,U.S. Customs and Border Protection,Washington,DC,cbpsoc@cbp.dhs.gov,https://evus.gov,evus.gov,evus-gov,home,0
fema.gov,Federal - Executive,Department of Homeland Security,Federal Emergency Management Agency,Washington,DC,fema-nosc-cyber@fema.dhs.gov,https://fema.gov,fema.gov,fema-gov,home,0
firstrespondertraining.gov,Federal - Executive,Department of Homeland Security,Office for Domestic Preparedness,Washington,DC,fema-nosc-cyber@fema.dhs.gov,https://firstrespondertraining.gov,firstrespondertraining.gov,firstrespondertraining-gov,home,0
fleta.gov,Federal - Executive,Department of Homeland Security,Federal Law Enforcement Training Center,Glynco,GA,FLETCCSIRC@fletc.dhs.gov,https://fleta.gov,fleta.gov,fleta-gov,home,0
fletc.gov,Federal - Executive,Department of Homeland Security,Federal Law Enforcement Training Center,Glynco,GA,FLETCCSIRC@fletc.dhs.gov,https://fletc.gov,fletc.gov,fletc-gov,home,0
floodsmart.gov,Federal - Executive,Department of Homeland Security,Federal Emergency Management Agency,Bluemont,VA,fema-nosc-cyber@fema.dhs.gov,https://floodsmart.gov,floodsmart.gov,floodsmart-gov,home,0
get.gov,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Arlington,VA,help@get.gov,https://get.gov,get.gov,get-gov,home,0
globalentry.gov,Federal - Executive,Department of Homeland Security,U.S. Customs and Border Protection,Washington,DC,CBPSOC@cbp.dhs.gov,https://globalentry.gov,globalentry.gov,globalentry-gov,home,0
homelandsecurity.gov,Federal - Executive,Department of Homeland Security,Headquarters,Washington,DC,IS2OSecurity@hq.dhs.gov,https://homelandsecurity.gov,homelandsecurity.gov,homelandsecurity-gov,home,0
hsi.gov,Federal - Executive,Department of Homeland Security,Office of the Chief Information Officer,Washington,DC,(blank),https://hsi.gov,hsi.gov,hsi-gov,home,0
ice.gov,Federal - Executive,Department of Homeland Security,U.S. Immigration and Customs Enforcement,Washington,DC,IS2OSecurity@hq.dhs.gov,https://ice.gov,ice.gov,ice-gov,home,0
juntos.gov,Federal - Executive,Department of Homeland Security,Headquarters,Washington,DC,IS2OSecurity@hq.dhs.gov,https://juntos.gov,juntos.gov,juntos-gov,home,0
know2protect.gov,Federal - Executive,Department of Homeland Security,CIO Headquarters,Springfield,VA,IS2OSecurity@hq.dhs.gov,https://know2protect.gov,know2protect.gov,know2protect-gov,home,0
listo.gov,Federal - Executive,Department of Homeland Security,Office of Public Affairs,Washington,DC,fema-nosc-cyber@fema.dhs.gov,https://listo.gov,listo.gov,listo-gov,home,0
nic.gov,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Arlington,VA,help@get.gov,https://nic.gov,nic.gov,nic-gov,home,0
niem.gov,Federal - Executive,Department of Homeland Security,"Department of Homeland Security, Office of the Chief Information Officer",Washington,DC,IS2OSecurity@hq.dhs.gov,https://niem.gov,niem.gov,niem-gov,home,0
nmsc.gov,Federal - Executive,Department of Homeland Security,National Marine Center,St Augustine,FL,bertram.dobrie@cbp.dhs.gov,https://nmsc.gov,nmsc.gov,nmsc-gov,home,0
ns.gov,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Arlington,VA,dotgov@cloudflare.com,https://ns.gov,ns.gov,ns-gov,home,0
power2prevent.gov,Federal - Executive,Department of Homeland Security,Headquarters,Washington,DC,is2osecurity@hq.dhs.gov,https://power2prevent.gov,power2prevent.gov,power2prevent-gov,home,0
preventionresourcefinder.gov,Federal - Executive,Department of Homeland Security,Headquarters,Washington,DC,IS2Osecurity@hq.dhs.gov,https://preventionresourcefinder.gov,preventionresourcefinder.gov,preventionresourcefinder-gov,home,0
readybusiness.gov,Federal - Executive,Department of Homeland Security,Federal Emergency Management Agency,Washington,DC,fema-nosc-cyber@fema.dhs.gov,https://readybusiness.gov,readybusiness.gov,readybusiness-gov,home,0
ready.gov,Federal - Executive,Department of Homeland Security,Office of Public Affairs,Washington,DC,fema-nosc-cyber@fema.dhs.gov,https://ready.gov,ready.gov,ready-gov,home,0
safetyact.gov,Federal - Executive,Department of Homeland Security,Science and Technology,Washington,DC,malik.lockett@st.dhs.gov,https://safetyact.gov,safetyact.gov,safetyact-gov,home,0
schoolsafety.gov,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Washington,DC,is2osecurity@hq.dhs.gov,https://schoolsafety.gov,schoolsafety.gov,schoolsafety-gov,home,0
secretservice.gov,Federal - Executive,Department of Homeland Security,United States Secret Service,Washington,DC,IS2OSecurity@hq.dhs.gov,https://secretservice.gov,secretservice.gov,secretservice-gov,home,0
stopransomware.gov,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Arlington,VA,vulnerability.disclosure.prog@hq.dhs.gov,https://stopransomware.gov,stopransomware.gov,stopransomware-gov,home,0
together.gov,Federal - Executive,Department of Homeland Security,Headquarters,Washington,DC,IS2OSecurity@hq.dhs.gov,https://together.gov,together.gov,together-gov,home,0
tsa.gov,Federal - Executive,Department of Homeland Security,Transportation Security Administration,Springfield,VA,GRC_Compliance@tsa.dhs.gov,https://tsa.gov,tsa.gov,tsa-gov,home,0
us-cert.gov,Federal - Executive,Department of Homeland Security,US-CERT,Washington,DC,cisa.csd.me_smir_cirt@mail.cisa.dhs.gov,https://us-cert.gov,us-cert.gov,us-cert-gov,home,0
uscg.gov,Federal - Executive,Department of Homeland Security,U. S. Coast Guard C5I Service Center,Alexandria,VA,c5isc-isd-sec-bps-managers@uscg.mil,https://uscg.gov,uscg.gov,uscg-gov,home,0
uscis.gov,Federal - Executive,Department of Homeland Security,USCIS,Washington,DC,jeffrey.y.oppong@uscis.dhs.gov,https://uscis.gov,uscis.gov,uscis-gov,home,0
usss.gov,Federal - Executive,Department of Homeland Security,United States Secret Service,Washington,DC,megan.mcgraw@usss.dhs.gov,https://usss.gov,usss.gov,usss-gov,home,0
disasterhousing.gov,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,vdp@hud.gov,https://disasterhousing.gov,disasterhousing.gov,disasterhousing-gov,home,0
fha.gov,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,vdp@hud.gov,https://fha.gov,fha.gov,fha-gov,home,0
ginniemae.gov,Federal - Executive,Department of Housing and Urban Development,Government National Mortgage Association,Washington,DC,ron.e.espedido@hud.gov,https://ginniemae.gov,ginniemae.gov,ginniemae-gov,home,0
hud.gov,Federal - Executive,Department of Housing and Urban Development,Web Master  Pulic Affair,Washington,DC,vdp@hud.gov,https://hud.gov,hud.gov,hud-gov,home,0
hudhomestore.gov,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,(blank),https://hudhomestore.gov,hudhomestore.gov,hudhomestore-gov,home,0
hudoig.gov,Federal - Executive,Department of Housing and Urban Development,Office of Inspector General,Washington,DC,INFOSECFederalStaff@hudoig.gov,https://hudoig.gov,hudoig.gov,hudoig-gov,home,0
huduser.gov,Federal - Executive,Department of Housing and Urban Development,"U.S. Department of Housing and Urban Development, Office of Policy Development and Research",Washington,DC,support@huduser.gov,https://huduser.gov,huduser.gov,huduser-gov,home,0
nationalhousing.gov,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,vdp@hud.gov,https://nationalhousing.gov,nationalhousing.gov,nationalhousing-gov,home,0
nationalhousinglocator.gov,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,vdp@hud.gov,https://nationalhousinglocator.gov,nationalhousinglocator.gov,nationalhousinglocator-gov,home,0
nhl.gov,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,vdp@hud.gov,https://nhl.gov,nhl.gov,nhl-gov,home,0
nls.gov,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,vdp@hud.gov,https://nls.gov,nls.gov,nls-gov,home,0
opportunityzones.gov,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,vdp@hud.gov,https://opportunityzones.gov,opportunityzones.gov,opportunityzones-gov,home,0
ada.gov,Federal - Executive,Department of Justice,Civil Rights Division,Washington,DC,Responsible_Disclosure@usdoj.gov,https://ada.gov,ada.gov,ada-gov,home,0
amberalert.gov,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,Responsible_Disclosure@usdoj.gov,https://amberalert.gov,amberalert.gov,amberalert-gov,home,0
atf.gov,Federal - Executive,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",Washington,DC,Responsible_Disclosure@usdoj.gov,https://atf.gov,atf.gov,atf-gov,home,0
atfonline.gov,Federal - Executive,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",Washington,DC,Responsible_Disclosure@usdoj.gov,https://atfonline.gov,atfonline.gov,atfonline-gov,home,0
bats.gov,Federal - Executive,Department of Justice,Department of Justice,Potomac,MD,Responsible_Disclosure@usdoj.gov,https://bats.gov,bats.gov,bats-gov,home,0
biometriccoe.gov,Federal - Executive,Department of Justice,FBI CJIS,Clarksburg,WV,Responsible_Disclosure@usdoj.gov,https://biometriccoe.gov,biometriccoe.gov,biometriccoe-gov,home,0
bja.gov,Federal - Executive,Department of Justice,Office of Justice Programs,Washington ,DC,Responsible_Disclosure@usdoj.gov,https://bja.gov,bja.gov,bja-gov,home,0
bjs.gov,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,Responsible_Disclosure@usdoj.gov,https://bjs.gov,bjs.gov,bjs-gov,home,0
bop.gov,Federal - Executive,Department of Justice,Federal Bureau of Prisons,Washington,DC,Responsible_Disclosure@usdoj.gov,https://bop.gov,bop.gov,bop-gov,home,0
campusdrugprevention.gov,Federal - Executive,Department of Justice,Drug Enforcement Administration,Springfield,VA,Responsible_Disclosure@usdoj.gov,https://campusdrugprevention.gov,campusdrugprevention.gov,campusdrugprevention-gov,home,0
cjis.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,Washington,DC,Responsible_Disclosure@usdoj.gov,https://cjis.gov,cjis.gov,cjis-gov,home,0
crimesolutions.gov,Federal - Executive,Department of Justice,Office of Justice Programs,Washinton,DC,Responsible_Disclosure@usdoj.gov,https://crimesolutions.gov,crimesolutions.gov,crimesolutions-gov,home,0
crimevictims.gov,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,Responsible_Disclosure@usdoj.gov,https://crimevictims.gov,crimevictims.gov,crimevictims-gov,home,0
cybercrime.gov,Federal - Executive,Department of Justice,Criminal Division,Washington,DC,Responsible_Disclosure@usdoj.gov,https://cybercrime.gov,cybercrime.gov,cybercrime-gov,home,0
deaecom.gov,Federal - Executive,Department of Justice,Drug Enforcement Administration,Washington,DC,Responsible_Disclosure@usdoj.gov,https://deaecom.gov,deaecom.gov,deaecom-gov,home,0
dea.gov,Federal - Executive,Department of Justice,Drug Enforcement Administration,Springfield,VA,Responsible_Disclosure@usdoj.gov,https://dea.gov,dea.gov,dea-gov,home,0
doj.gov,Federal - Executive,Department of Justice,Department of Justice,Washington,DC,Responsible_Disclosure@usdoj.gov,https://doj.gov,doj.gov,doj-gov,home,0
dsac.gov,Federal - Executive,Department of Justice,"U.S. Department of Justice, BI, Domestic Security Alliance Council (DSAC)",Potomac,MD,Responsible_Disclosure@usdoj.gov,https://dsac.gov,dsac.gov,dsac-gov,home,0
elderjustice.gov,Federal - Executive,Department of Justice,"Department of Justice, Civil Division",Washington,DC,Responsible_Disclosure@usdoj.gov,https://elderjustice.gov,elderjustice.gov,elderjustice-gov,home,0
epic.gov,Federal - Executive,Department of Justice,Drug Enforcement Administration,Washington,DC,Responsible_Disclosure@usdoj.gov,https://epic.gov,epic.gov,epic-gov,home,0
fara.gov,Federal - Executive,Department of Justice,"U.S. Department of Justice, National Security Division",Washington,DC,Responsible_Disclosure@usdoj.gov,https://fara.gov,fara.gov,fara-gov,home,0
fbi.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,Washington,DC,Responsible_Disclosure@usdoj.gov,https://fbi.gov,fbi.gov,fbi-gov,home,0
fbihr.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,Washington,DC,Responsible_Disclosure@usdoj.gov,https://fbihr.gov,fbihr.gov,fbihr-gov,home,0
fbijobs.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,Washington,DC,Responsible_Disclosure@usdoj.gov,https://fbijobs.gov,fbijobs.gov,fbijobs-gov,home,0
fbilab.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,Washington,DC,Responsible_Disclosure@usdoj.gov,https://fbilab.gov,fbilab.gov,fbilab-gov,home,0
firstfreedom.gov,Federal - Executive,Department of Justice,Department of Justice,Potomac,MD,Responsible_Disclosure@usdoj.gov,https://firstfreedom.gov,firstfreedom.gov,firstfreedom-gov,home,0
foia.gov,Federal - Executive,Department of Justice,"Department of Justice, Office of e-Government",Washington,DC,Responsible_Disclosure@usdoj.gov,https://foia.gov,foia.gov,foia-gov,home,0
forfeiture.gov,Federal - Executive,Department of Justice,"Criminal Division, Asset Forfeiture and Money Laundering Section (AFMLS)",Potomac,MD,Responsible_Disclosure@usdoj.gov,https://forfeiture.gov,forfeiture.gov,forfeiture-gov,home,0
fpi.gov,Federal - Executive,Department of Justice,Federal Prison Industries,Washington,DC,Responsible_Disclosure@usdoj.gov,https://fpi.gov,fpi.gov,fpi-gov,home,0
getsmartaboutdrugs.gov,Federal - Executive,Department of Justice,Drug Enforcement Administration,Springfield,VA,Responsible_Disclosure@usdoj.gov,https://getsmartaboutdrugs.gov,getsmartaboutdrugs.gov,getsmartaboutdrugs-gov,home,0
healthycompetition.gov,Federal - Executive,Department of Justice,Antitrust Division,Washington,DC,Responsible_Disclosure@usdoj.gov,https://healthycompetition.gov,healthycompetition.gov,healthycompetition-gov,home,0
ic3.gov,Federal - Executive,Department of Justice,Internet Crime Complaint Center,Fairmont,WV,Responsible_Disclosure@usdoj.gov,https://ic3.gov,ic3.gov,ic3-gov,home,0
interpol.gov,Federal - Executive,Department of Justice,"U.S. Department of Justice, U. S. NATIONAL CENTRAL BUREAU of INTERPOL (INTERPOL)",Potomac,MD,Responsible_Disclosure@usdoj.gov,https://interpol.gov,interpol.gov,interpol-gov,home,0
iprcenter.gov,Federal - Executive,Department of Justice,U.S Immigration and Customs Enforcement,Washington,DC,Responsible_Disclosure@usdoj.gov,https://iprcenter.gov,iprcenter.gov,iprcenter-gov,home,0
jcode.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,Washington,DC,jcode@fbi.gov,https://jcode.gov,jcode.gov,jcode-gov,home,0
justauth.gov,Federal - Executive,Department of Justice,Justice Management Division,Washington,DC,Responsible_Disclosure@usdoj.gov,https://justauth.gov,justauth.gov,justauth-gov,home,0
justice.gov,Federal - Executive,Department of Justice,Department of Justice,Washington,DC,Responsible_Disclosure@usdoj.gov,https://justice.gov,justice.gov,justice-gov,home,0
justthinktwice.gov,Federal - Executive,Department of Justice,Drug Enforcement Administration,Springfield,VA,Responsible_Disclosure@usdoj.gov,https://justthinktwice.gov,justthinktwice.gov,justthinktwice-gov,home,0
juvenilecouncil.gov,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,Responsible_Disclosure@usdoj.gov,https://juvenilecouncil.gov,juvenilecouncil.gov,juvenilecouncil-gov,home,0
learnatf.gov,Federal - Executive,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",Washington,DC,Responsible_Disclosure@usdoj.gov,https://learnatf.gov,learnatf.gov,learnatf-gov,home,0
learndoj.gov,Federal - Executive,Department of Justice,Department of Justice,Washington,DC,Responsible_Disclosure@usdoj.gov,https://learndoj.gov,learndoj.gov,learndoj-gov,home,0
leo.gov,Federal - Executive,Department of Justice,"U.S. Department of Justice, FBI, LEO",Potomac,MD,Responsible_Disclosure@usdoj.gov,https://leo.gov,leo.gov,leo-gov,home,0
lep.gov,Federal - Executive,Department of Justice,Civil Rights Division,Washington,DC,Responsible_Disclosure@usdoj.gov,https://lep.gov,lep.gov,lep-gov,home,0
malwareinvestigator.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,Washington,DC,Responsible_Disclosure@usdoj.gov,https://malwareinvestigator.gov,malwareinvestigator.gov,malwareinvestigator-gov,home,0
medalofvalor.gov,Federal - Executive,Department of Justice,Department of Justice,Potomac,MD,Responsible_Disclosure@usdoj.gov,https://medalofvalor.gov,medalofvalor.gov,medalofvalor-gov,home,0
namus.gov,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,Responsible_Disclosure@usdoj.gov,https://namus.gov,namus.gov,namus-gov,home,0
nationalgangcenter.gov,Federal - Executive,Department of Justice,Institute for Intergovernmental Research,Tallahassee,FL,Responsible_Disclosure@usdoj.gov,https://nationalgangcenter.gov,nationalgangcenter.gov,nationalgangcenter-gov,home,0
ncirc.gov,Federal - Executive,Department of Justice,Institute for Intergovernmental Research,Tallahassee,FL,Responsible_Disclosure@usdoj.gov,https://ncirc.gov,ncirc.gov,ncirc-gov,home,0
ncjrs.gov,Federal - Executive,Department of Justice,Department of Justice,Potomac,MD,Responsible_Disclosure@usdoj.gov,https://ncjrs.gov,ncjrs.gov,ncjrs-gov,home,0
nicic.gov,Federal - Executive,Department of Justice,"Department of Justice, National Institute of Corrections",Washington,DC,Responsible_Disclosure@usdoj.gov,https://nicic.gov,nicic.gov,nicic-gov,home,0
nicsezcheckfbi.gov,Federal - Executive,Department of Justice,Federal Bureau of Investigation,Washington,DC,Responsible_Disclosure@usdoj.gov,https://nicsezcheckfbi.gov,nicsezcheckfbi.gov,nicsezcheckfbi-gov,home,0
nij.gov,Federal - Executive,Department of Justice,Office of Justice Programs ,Washington,DC,Responsible_Disclosure@usdoj.gov,https://nij.gov,nij.gov,nij-gov,home,0
nlead.gov,Federal - Executive,Department of Justice,Department of Justice,Washington,DC,Responsible_Disclosure@usdoj.gov,https://nlead.gov,nlead.gov,nlead-gov,home,0
nmvtis.gov,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,Responsible_Disclosure@usdoj.gov,https://nmvtis.gov,nmvtis.gov,nmvtis-gov,home,0
nsopr.gov,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,Responsible_Disclosure@usdoj.gov,https://nsopr.gov,nsopr.gov,nsopr-gov,home,0
nsopw.gov,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,Responsible_Disclosure@usdoj.gov,https://nsopw.gov,nsopw.gov,nsopw-gov,home,0
nvtc.gov,Federal - Executive,Department of Justice,National Virtual Translation Center,Washington,DC,Responsible_Disclosure@usdoj.gov,https://nvtc.gov,nvtc.gov,nvtc-gov,home,0
ojjdp.gov,Federal - Executive,Department of Justice,Office of Justice Programs,Potomac,MD,Responsible_Disclosure@usdoj.gov,https://ojjdp.gov,ojjdp.gov,ojjdp-gov,home,0
ojp.gov,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,Responsible_Disclosure@usdoj.gov,https://ojp.gov,ojp.gov,ojp-gov,home,0
ovc.gov,Federal - Executive,Department of Justice,Office of Justice Programs,Potomac,DC,Responsible_Disclosure@usdoj.gov,https://ovc.gov,ovc.gov,ovc-gov,home,0
ovcttac.gov,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,Responsible_Disclosure@usdoj.gov,https://ovcttac.gov,ovcttac.gov,ovcttac-gov,home,0
projectsafechildhood.gov,Federal - Executive,Department of Justice,Office of the Chief Information Officer,Washington,DC,Responsible_Disclosure@usdoj.gov,https://projectsafechildhood.gov,projectsafechildhood.gov,projectsafechildhood-gov,home,0
projectsafeneighborhoods.gov,Federal - Executive,Department of Justice,Office of the Chief Information Officer,Washington,DC,Responsible_Disclosure@usdoj.gov,https://projectsafeneighborhoods.gov,projectsafeneighborhoods.gov,projectsafeneighborhoods-gov,home,0
psob.gov,Federal - Executive,Department of Justice,Office of Justice Programs,Potomac,MD,Responsible_Disclosure@usdoj.gov,https://psob.gov,psob.gov,psob-gov,home,0
rcfl.gov,Federal - Executive,Department of Justice,RCFL,McLean,VA,Responsible_Disclosure@usdoj.gov,https://rcfl.gov,rcfl.gov,rcfl-gov,home,0
reentry.gov,Federal - Executive,Department of Justice,Federal Bureau of Prisons,Washington,DC,Responsible_Disclosure@usdoj.gov,https://reentry.gov,reentry.gov,reentry-gov,home,0
