,resource_category,website_id,page_id,page_type,page_url,rank,sourceid,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs_2022_,total_docs_3years_,total_refs_,total_cites_3years_,citable_docs_3years_,cites_doc_2years_,ref_doc_,region,publisher,coverage,categories,areas,country,url,continent,violations,passes,total_checks,failure_rate
4723,journal,Bois-et-Forets-des-Tropiques,0,home,https://revues.cirad.fr/index.php/BFT/index,16780.0,19900191982.0,Bois et Forets des Tropiques,journal,"17775760, 0006579X","0,252",Q3,13.0,28.0,91.0,1006.0,73.0,83.0,"0,61","35,93",Western Europe,Centre de Cooperation Internationale en Recherche Agronomique Pour le Developpement,2010-2022,,Agricultural and Biological Sciences; Environmental Science,France,https://revues.cirad.fr/index.php/BFT/index,Europe,48,915,963,0.04984423676012461
4724,journal,Boletim-Centro-de-Pesquisa-de-Processamento-de-Alimentos,0,home,https://revistas.ufpr.br/alimentos,24727.0,19700175254.0,Boletim Centro de Pesquisa de Processamento de Alimentos,journal,"19839774, 01020323","0,115",Q4,10.0,0.0,14.0,0.0,5.0,14.0,"0,50","0,00",Latin America,Centro de Pesquisa de Processamento de Alimentos,2009-2021,Animal Science and Zoology,Agricultural and Biological Sciences,Brazil,https://revistas.ufpr.br/alimentos,South America,66,868,934,0.07066381156316917
4725,journal,Boletin-Latinoamericano-y-del-Caribe-de-Plantas-Medicinales-y-Aromaticas,0,home,https://www.blacpma.usach.cl/,18571.0,19200156945.0,Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas,journal,07177917,"0,212",Q3,24.0,49.0,133.0,3466.0,122.0,132.0,"0,81","70,73",Latin America,MS-Editions,2008-2023,Complementary and Alternative Medicine;Pharmacology;Drug Discovery;Plant Science,"Agricultural and Biological Sciences; Medicine; Pharmacology, Toxicology and Pharmaceutics",Chile,https://www.blacpma.usach.cl/,South America,47,437,484,0.09710743801652892
4726,journal,Boletin-Medico-del-Hospital-Infantil-de-Mexico,0,home,https://www.bmhim.com/,16781.0,34848.0,Boletin Medico del Hospital Infantil de Mexico,journal,"16651146, 05396115","0,252",Q3,14.0,55.0,193.0,1711.0,175.0,184.0,"0,97","31,11",Latin America,Hospital Infantil de Mexico Federico Gomez,"1946-1965, 1974-1998, 2012-2022","Pediatrics, Perinatology and Child Health",Medicine,Mexico,http://www.bmhim.com/,North America,27,347,374,0.07219251336898395
4727,journal,Boletin-de-Investigaciones-Marinas-y-Costeras,0,home,http://boletin.invemar.org.co:8085/ojs/index.php/boletin,17773.0,26787.0,Boletin de Investigaciones Marinas y Costeras,journal,01229761,"0,228",Q3,16.0,20.0,88.0,1110.0,45.0,88.0,"0,45","55,50",Latin America,"Instituto de Investigaciones Marinas y Costeras Jose Benito Vives De Andreis""""","1996-1998, 2001-2022",Animal Science and Zoology,Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science,Colombia,http://boletin.invemar.org.co:8085/ojs/index.php/boletin,South America,12,637,649,0.01848998459167951
4728,journal,Boletin-de-la-Asociacion-Espanola-de-Entomologia,0,home,https://www.entomologica.es/publicaciones-boletin,16076.0,21101046165.0,Boletin de la Asociacion Espanola de Entomologia,journal,02108984,"0,272",Q3,6.0,24.0,113.0,634.0,35.0,86.0,"0,35","26,42",Western Europe,Asociacion espanola de Entomologia,"1994-1997, 2020-2022",Food Science;Insect Science,Agricultural and Biological Sciences; Environmental Science,Spain,http://www.entomologica.es/publicaciones-boletin,Europe,1,1165,1166,0.0008576329331046312
4729,journal,Boletin-de-la-Sociedad-Argentina-de-Botanica,0,home,https://revistas.unc.edu.ar/index.php/BSAB,16307.0,21100211763.0,Boletin de la Sociedad Argentina de Botanica,journal,"18512372, 0373580X","0,265",Q3,17.0,37.0,113.0,2005.0,78.0,113.0,"0,64","54,19",Latin America,Sociedad Argentina de Botanica,2006-2022,Plant Science,Agricultural and Biological Sciences,Argentina,https://revistas.unc.edu.ar/index.php/BSAB,South America,20,700,720,0.027777777777777776
4730,journal,Bone-Reports,0,home,https://www.sciencedirect.com/journal/bone-reports,9238.0,21100386862.0,Bone Reports,journal,23521872,"0,560",Q2,28.0,92.0,250.0,4953.0,595.0,250.0,"2,23","53,84",Northern America,Elsevier Inc.,2015-2022,"Orthopedics and Sports Medicine;Endocrinology, Diabetes and Metabolism",Medicine,United States,https://www.journals.elsevier.com/bone-reports,North America,4,201,205,0.01951219512195122
4731,journal,Bone-and-Joint-Journal,0,home,https://boneandjoint.org.uk/journal/bjj,1142.0,21100241208.0,Bone and Joint Journal,journal,"20494408, 20494394","2,149",Q1,199.0,187.0,894.0,6148.0,4215.0,824.0,"4,40","32,88",Western Europe,British Editorial Society of Bone and Joint Surgery,2013-2022,Medicine;Orthopedics and Sports Medicine;Surgery,Health Professions; Medicine,United Kingdom,https://online.boneandjoint.org.uk/journal/bjj,Europe,12,531,543,0.022099447513812154
4732,journal,Bone-and-Joint-Open,0,home,https://boneandjoint.org.uk/journal/bjo,2339.0,21101085507.0,Bone and Joint Open,journal,26331462,"1,419",Q1,16.0,125.0,246.0,3936.0,767.0,241.0,"3,12","31,49",Western Europe,British Editorial Society of Bone and Joint Surgery,2020-2022,Orthopedics and Sports Medicine;Surgery,Medicine,United Kingdom,https://boneandjoint.org.uk/journal/bjo,Europe,11,462,473,0.023255813953488372
4733,journal,Bone-and-Joint-Research,0,home,https://boneandjoint.org.uk/journal/bjr,1908.0,21100422918.0,Bone and Joint Research,journal,20463758,"1,607",Q1,42.0,92.0,269.0,4227.0,1261.0,252.0,"4,55","45,95",Western Europe,British Editorial Society of Bone and Joint Surgery,2012-2022,Orthopedics and Sports Medicine;Surgery,Medicine,United Kingdom,https://online.boneandjoint.org.uk/journal/bjr,Europe,16,452,468,0.03418803418803419
4734,journal,Bonn-Zoological-Bulletin,0,home,https://zoologicalbulletin.de/,14110.0,21100244623.0,Bonn Zoological Bulletin,journal,21907307,"0,334",Q3,12.0,1.0,57.0,21.0,49.0,57.0,"0,86","21,00",Western Europe,Zoologisches Forschungsmuseum Alexander Koenig,2012-2021,Animal Science and Zoology;Insect Science,Agricultural and Biological Sciences,Germany,https://www.zoologicalbulletin.de/,Europe,32,165,197,0.16243654822335024
4735,journal,Bonplandia,0,home,https://revistas.unne.edu.ar/index.php/bon,20240.0,21100903779.0,Bonplandia,journal,"18538460, 05240476","0,180",Q4,4.0,8.0,44.0,216.0,27.0,44.0,"0,46","27,00",Latin America,Instituto de Botanica del Nordeste,"2016, 2019-2021","Biochemistry, Genetics and Molecular Biology;Genetics;Plant Science","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology",Argentina,https://revistas.unne.edu.ar/index.php/bon,South America,19,459,478,0.0397489539748954
4736,journal,Bordon,0,home,https://recyt.fecyt.es/index.php/BORDON/index,14769.0,21100451148.0,Bordon,journal,"02105934, 23406577","0,312",Q3,18.0,30.0,106.0,1359.0,127.0,106.0,"1,22","45,30",Western Europe,Sociedad Espanola de Pedagogia,2011-2022,Developmental and Educational Psychology,Psychology; Social Sciences,Spain,https://recyt.fecyt.es/index.php/BORDON/index,Europe,48,892,940,0.05106382978723404
4737,journal,Boreal-Environment-Research,0,home,https://www.borenv.net/,13207.0,23840.0,Boreal Environment Research,journal,12396095,"0,369",Q2,61.0,6.0,33.0,453.0,36.0,33.0,"0,94","75,50",Western Europe,Finnish Environment Institute,1996-2022,Agricultural and Biological Sciences;Atmospheric Science,Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science,Finland,http://www.borenv.net/,Europe,20,600,620,0.03225806451612903
4738,journal,Borneo-Journal-of-Resource-Science-and-Technology,0,home,https://publisher.unimas.my/ojs/index.php/BJRST/index,23640.0,21101068177.0,Borneo Journal of Resource Science and Technology,journal,"22299769, 01282972","0,127",Q4,2.0,31.0,20.0,1146.0,6.0,20.0,"0,30","36,97",Asiatic Region,Universiti Malaysia Sarawak,2021-2022,Animal Science and Zoology;Biochemistry;Biotechnology;Molecular Biology,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science",Malaysia,https://publisher.unimas.my/ojs/index.php/BJRST/index,Asia,31,659,690,0.04492753623188406
4739,journal,Bosnian-Journal-of-Basic-Medical-Sciences,0,home,https://www.bjbms.org/ojs/index.php/bjbms,7598.0,91727.0,Bosnian Journal of Basic Medical Sciences,journal,"18404812, 15128601","0,664",Q2,34.0,99.0,209.0,4993.0,694.0,203.0,"3,15","50,43",Eastern Europe,Association of Basic Medical Sciences Federation of Bosnia and Herzegovina,2004-2022,Medicine,Medicine,Bosnia and Herzegovina,http://www.bjbms.org/,Europe,12,2281,2293,0.005233318796336677
4740,journal,Bosque,0,home,https://www.revistabosque.org/index.php/bosque,19113.0,5000157201.0,Bosque,journal,"03048799, 07179200","0,201",Q3,21.0,32.0,97.0,928.0,60.0,94.0,"0,57","29,00",Latin America,Universidad Austral de Chile,2006-2022,,Agricultural and Biological Sciences,Chile,https://www.revistabosque.org/index.php/bosque,South America,56,423,479,0.11691022964509394
4741,journal,Botanica,0,home,https://botanicalithuanica.gamtc.lt/en,22535.0,21101067073.0,Botanica,journal,"25388657, 25388649","0,141",Q4,5.0,16.0,55.0,752.0,23.0,54.0,"0,54","47,00",Eastern Europe,Nature Research Centre,2018-2022,Plant Science,Agricultural and Biological Sciences; Environmental Science,Lithuania,https://botanicalithuanica.gamtc.lt/en,Europe,29,1183,1212,0.02392739273927393
4742,journal,Botanica-Complutensis,0,home,https://revistas.ucm.es/index.php/BOCM,18269.0,17287.0,Botanica Complutensis,journal,"02144565, 19882874","0,218",Q4,12.0,7.0,45.0,493.0,14.0,44.0,"0,33","70,43",Western Europe,Biblioteca de la Universidad Complutense de Madrid,2001-2022,Plant Science,Agricultural and Biological Sciences,Spain,https://revistas.ucm.es/index.php/BOCM,Europe,36,655,691,0.05209840810419682
4743,journal,Botanica-Marina,0,home,https://www.degruyter.com/journal/key/botm/html,11235.0,17300.0,Botanica Marina,journal,"00068055, 14374323","0,454",Q2,63.0,38.0,145.0,2103.0,324.0,137.0,"2,19","55,34",Western Europe,Walter de Gruyter GmbH,1959-2022,Plant Science,Agricultural and Biological Sciences,Germany,https://www.degruyter.com/view/journals/botm/botm-overview.xml,Europe,3,1387,1390,0.002158273381294964
4744,journal,Botanica-Pacifica,0,home,http://www.geobotanica.ru/bp/,19014.0,21100806944.0,Botanica Pacifica,journal,"24103713, 22264701","0,203",Q4,8.0,37.0,86.0,1750.0,69.0,86.0,"0,75","47,30",Eastern Europe,Botanical Garden-Institute,2016-2022,Plant Science,Agricultural and Biological Sciences; Environmental Science,Russia,http://www.geobotanica.ru/bp/,Asia,23,396,419,0.05489260143198091
4745,journal,Botanica-Serbica,0,home,https://botanicaserbica.bio.bg.ac.rs/,17685.0,21100246537.0,Botanica Serbica,journal,"18212638, 18212158","0,230",Q3,11.0,32.0,85.0,1602.0,82.0,84.0,"0,87","50,06",Eastern Europe,University of Belgrade,2013-2022,Plant Science,Agricultural and Biological Sciences,Serbia,https://botanicaserbica.bio.bg.ac.rs/,Europe,9,260,269,0.03345724907063197
4746,journal,Botanical-Journal-of-the-Linnean-Society,0,home,https://academic.oup.com/botlinnean,5914.0,19328.0,Botanical Journal of the Linnean Society,journal,"10958339, 00244074","0,805",Q1,77.0,77.0,275.0,7180.0,703.0,272.0,"2,49","93,25",Western Europe,Oxford University Press,1969-2022,Plant Science,Agricultural and Biological Sciences,United Kingdom,https://academic.oup.com/botlinnean,Europe,54,1684,1738,0.031070195627157654
4747,journal,Botanical-Review-The,0,home,https://link.springer.com/journal/12229,5864.0,11400153301.0,"Botanical Review, The",journal,"18749372, 00068101","0,809",Q1,75.0,25.0,50.0,3242.0,246.0,50.0,"4,58","129,68",Northern America,Springer New York,1935-2022,Plant Science,Agricultural and Biological Sciences,United States,https://www.springer.com/journal/12229,North America,1,1059,1060,0.0009433962264150943
4748,journal,Botanical-Sciences,0,home,https://www.botanicalsciences.com.mx/index.php/botanicalSciences,16494.0,21100244622.0,Botanical Sciences,journal,"20074298, 20074476","0,260",Q3,22.0,50.0,229.0,4509.0,236.0,226.0,"1,06","90,18",Latin America,Sociedad Botanica de Mexico,2011-2022,Plant Science,Agricultural and Biological Sciences,Mexico,https://www.botanicalsciences.com.mx/index.php/botanicalSciences,North America,56,1097,1153,0.04856895056374675
4749,journal,Botanical-Studies,0,home,https://as-botanicalstudies.springeropen.com/,8211.0,4700151601.0,Botanical Studies,journal,1817406X,"0,623",Q2,58.0,32.0,78.0,1768.0,276.0,78.0,"3,36","55,25",Western Europe,Springer International Publishing AG,2006-2022,Plant Science,Agricultural and Biological Sciences,Switzerland,https://as-botanicalstudies.springeropen.com/,Europe,12,875,887,0.013528748590755355
4750,journal,Botanikai-Kozlemenyek,0,home,http://www.botkozlem.elte.hu/en/index,17454.0,21100810659.0,Botanikai Kozlemenyek,journal,"00068144, 24159662","0,235",Q3,5.0,11.0,33.0,571.0,17.0,33.0,"0,48","51,91",Northern America,,2016-2022,Plant Science,Agricultural and Biological Sciences,United States,http://www.botkozlem.elte.hu/en/index,North America,16,220,236,0.06779661016949153
4751,journal,Bothalia,0,home,https://www.abcjournal.org/index.php/BothaliaABC,15753.0,17323.0,Bothalia,journal,"23119284, 00068241","0,281",Q3,23.0,12.0,72.0,305.0,77.0,72.0,"0,74","25,42",Africa,South African National Biodiversity Institute,"1978, 1993-2022",Plant Science,Agricultural and Biological Sciences,South Africa,http://www.abcjournal.org/index.php/BothaliaABC,Africa,3,444,447,0.006711409395973154
4752,journal,Boyhood-Studies,0,home,https://www.berghahnjournals.com/view/journals/boyhood-studies/boyhood-studies-overview.xml,10289.0,21100935905.0,Boyhood Studies,journal,"23759240, 23759267","0,502",Q1,5.0,12.0,50.0,305.0,35.0,47.0,"0,67","25,42",Northern America,Berghahn Journals,2018-2021,Gender Studies;Developmental and Educational Psychology;Life-span and Life-course Studies;Social Psychology,Psychology; Social Sciences,United States,https://www.berghahnjournals.com/view/journals/boyhood-studies/boyhood-studies-overview.xml,North America,62,1657,1719,0.03606748109365911
4753,journal,Bradleya,0,home,https://bcss.org.uk/,12448.0,21100247022.0,Bradleya,journal,0265086X,"0,401",Q2,13.0,20.0,87.0,576.0,107.0,84.0,"1,42","28,80",Western Europe,British Cactus and Succulent Society,2010-2022,Horticulture,Agricultural and Biological Sciences,United Kingdom,http://society.bcss.org.uk/index.php/bradleya-2.html,Europe,53,845,898,0.05902004454342984
4754,journal,Brain-Imaging-and-Behavior,0,home,https://link.springer.com/journal/11682,4198.0,10600153347.0,Brain Imaging and Behavior,journal,"19317565, 19317557","1,002",Q1,62.0,254.0,636.0,14816.0,2378.0,634.0,"3,56","58,33",Northern America,Springer New York,2007-2022,"Behavioral Neuroscience;Neurology;Radiology, Nuclear Medicine and Imaging;Cellular and Molecular Neuroscience;Cognitive Neuroscience;Neurology;Psychiatry and Mental Health",Medicine; Neuroscience,United States,https://www.springer.com/journal/11682,North America,1,1015,1016,0.000984251968503937
4755,journal,Brain-Impairment,0,home,https://www.cambridge.org/core/journals/brain-impairment,18532.0,19400156832.0,Brain Impairment,journal,"18395252, 14439646","0,213",Q3,26.0,28.0,74.0,1300.0,67.0,72.0,"0,59","46,43",Western Europe,Cambridge University Press,"2004, 2008-2022",Speech and Hearing;Behavioral Neuroscience;Cognitive Neuroscience;Neurology;Neurology;Neuropsychology and Physiological Psychology,Health Professions; Medicine; Neuroscience; Psychology,United Kingdom,https://www.cambridge.org/core/journals/brain-impairment,Europe,72,2383,2455,0.029327902240325866
4756,journal,Brain-Research,0,home,https://www.sciencedirect.com/journal/brain-research,5414.0,14346.0,Brain Research,journal,"18726240, 00068993","0,854",Q2,218.0,238.0,1313.0,14087.0,4208.0,1303.0,"2,95","59,19",Western Europe,Elsevier,1966-2022,Developmental Biology;Molecular Biology;Neurology;Neuroscience,"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience",Netherlands,https://www.journals.elsevier.com/brain-research,Europe,4,201,205,0.01951219512195122
4757,journal,Brain-Research-Bulletin,0,home,https://www.sciencedirect.com/journal/brain-research-bulletin,5105.0,14347.0,Brain Research Bulletin,journal,"03619230, 18732747","0,885",Q2,139.0,226.0,802.0,16639.0,3235.0,798.0,"3,77","73,62",Northern America,Elsevier Inc.,1976-2022,Neuroscience,Neuroscience,United States,https://www.journals.elsevier.com/brain-research-bulletin,North America,4,201,205,0.01951219512195122
4758,journal,Brain-Sciences,0,home,https://www.mdpi.com/journal/brainsci,6483.0,21100367158.0,Brain Sciences,journal,20763425,"0,752",Q3,54.0,1727.0,3043.0,106136.0,10418.0,2965.0,"3,33","61,46",Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2011-2022,Neuroscience,Neuroscience,Switzerland,https://www.mdpi.com/journal/brainsci,Europe,350,2891,3241,0.1079913606911447
4759,journal,Brain-Tumor-Pathology,0,home,https://link.springer.com/journal/10014,5925.0,28755.0,Brain Tumor Pathology,journal,"14337398, 1861387X","0,804",Q2,44.0,27.0,82.0,995.0,279.0,75.0,"3,29","36,85",Asiatic Region,Springer Japan,1997-2022,Medicine;Neurology;Oncology;Cancer Research,"Biochemistry, Genetics and Molecular Biology; Medicine",Japan,https://www.springer.com/journal/10014,Asia,1,1028,1029,0.0009718172983479105
4760,journal,Brain-and-Nerve,0,home,https://www.oatext.com/Brain-and-Nerves-JBN.php#gsc.tab=0,22226.0,5400152655.0,Brain and Nerve,journal,"18816096, 13448129","0,145",Q4,14.0,0.0,133.0,0.0,42.0,133.0,"0,33","0,00",Asiatic Region,Igaku-Shoin Ltd,2007-2020,Medicine;Neurology,Medicine,Japan,https://www.oatext.com/Brain-and-Nerves-JBN.php#gsc.tab=0,Asia,43,343,386,0.11139896373056994
4761,journal,Brazilian-Journal-of-Anesthesiology-English-Edition-,0,home,https://www.sciencedirect.com/browse/journals-and-books,16818.0,21949.0,Brazilian Journal of Anesthesiology (English Edition),journal,"23522291, 01040014","0,251",Q3,33.0,192.0,426.0,4118.0,359.0,347.0,"0,66","21,45",Latin America,Elsevier Editora Ltda,"1960-1982, 1994-2022",Anesthesiology and Pain Medicine,Medicine,Brazil,https://www.journals.elsevier.com/revista-brasileira-de-anestesiologia/,South America,4,201,205,0.01951219512195122
4762,journal,Brazilian-Journal-of-Biology,0,home,http://bjb.com.br/,13208.0,13841.0,Brazilian Journal of Biology,journal,"15196984, 16784375","0,369",Q2,60.0,327.0,401.0,12769.0,703.0,359.0,"1,71","39,05",Latin America,Instituto Internacional de Ecologia,2000-2024,Agricultural and Biological Sciences,Agricultural and Biological Sciences,Brazil,http://bjb.com.br/,South America,7,180,187,0.0374331550802139
4763,journal,Brazilian-Journal-of-Cardiovascular-Surgery,0,home,https://bjcvs.org/,14302.0,4900152701.0,Brazilian Journal of Cardiovascular Surgery,journal,"01027638, 16789741","0,327",Q3,31.0,161.0,463.0,3426.0,493.0,381.0,"1,04","21,28",Latin America,Sociedade Brasileira de Cirurgia Cardiovascular,2006-2022,Cardiology and Cardiovascular Medicine;Medicine;Surgery,Medicine,Brazil,https://bjcvs.org/,South America,42,352,394,0.1065989847715736
4764,journal,Brazilian-Journal-of-Food-Technology,0,home,https://bjft.ital.sp.gov.br/,16206.0,21100432467.0,Brazilian Journal of Food Technology,journal,"15167275, 19816723","0,268",Q3,16.0,41.0,252.0,1653.0,359.0,252.0,"1,08","40,32",Latin America,Instituto de Tecnologia de Alimentos (ITAL),2015-2022,Food Science,Agricultural and Biological Sciences,Brazil,http://bjft.ital.sp.gov.br/,South America,89,1419,1508,0.059018567639257294
4765,journal,Brazilian-Journal-of-Medical-and-Biological-Research,0,home,https://www.scielo.br/j/bjmbr/,9826.0,28675.0,Brazilian Journal of Medical and Biological Research,journal,"0100879X, 1414431X","0,528",Q1,96.0,105.0,462.0,3809.0,1224.0,460.0,"2,30","36,28",Latin America,Associacao Brasileira de Divulgacao Cientifica,1973-2022,"Pharmacology, Toxicology and Pharmaceutics;Medicine;Biochemistry;Biophysics;Cell Biology;Immunology;Neuroscience;Physiology","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics",Brazil,http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-879X&lng=en&nrm=iso,South America,88,1177,1265,0.06956521739130435
4766,journal,Brazilian-Journal-of-Microbiology,0,home,https://link.springer.com/journal/42770,11643.0,130143.0,Brazilian Journal of Microbiology,journal,15178382,"0,437",Q3,79.0,213.0,601.0,11039.0,1428.0,589.0,"2,28","51,83",Latin America,Elsevier Editora Ltda,"1992, 1994, 2000-2022",Microbiology,Immunology and Microbiology,Brazil,https://www.springer.com/journal/42770,South America,1,1114,1115,0.0008968609865470852
4767,journal,Brazilian-Journal-of-Otorhinolaryngology,0,home,https://www.sciencedirect.com/browse/journals-and-books,9788.0,4700152300.0,Brazilian Journal of Otorhinolaryngology,journal,"18088694, 18088686","0,530",Q2,40.0,258.0,387.0,6946.0,614.0,353.0,"1,49","26,92",Latin America,Elsevier Editora Ltda,2005-2022,Otorhinolaryngology,Medicine,Brazil,https://www.journals.elsevier.com/brazilian-journal-of-otorhinolaryngology/,South America,4,201,205,0.01951219512195122
4768,journal,Brazilian-Journal-of-Pharmaceutical-Sciences,0,home,https://revistas.usp.br/bjps,16373.0,19700182901.0,Brazilian Journal of Pharmaceutical Sciences,journal,"19848250, 21759790","0,263",Q2,48.0,425.0,317.0,16075.0,484.0,317.0,"1,37","37,82",Latin America,Faculdade de Ciencias Farmaceuticas (Biblioteca-,2009-2022,"Pharmacology, Toxicology and Pharmaceutics","Pharmacology, Toxicology and Pharmaceutics",Brazil,http://www.revistas.usp.br/bjps,South America,8,4840,4848,0.0016501650165016502
4769,journal,Breast-Cancer,0,home,https://link.springer.com/journal/12282,5128.0,83418.0,Breast Cancer,journal,13406868,"0,882",Q1,61.0,108.0,370.0,3944.0,1197.0,359.0,"3,36","36,52",Asiatic Region,Springer Japan,1994-2022,"Medicine;Pharmacology;Radiology, Nuclear Medicine and Imaging;Oncology",Medicine,Japan,https://www.springer.com/journal/12282,Asia,1,1087,1088,0.0009191176470588235
4770,journal,Breast-Cancer-Targets-and-Therapy,0,home,https://www.dovepress.com/breast-cancer---targets-and-therapy-journal,5618.0,19700175783.0,Breast Cancer: Targets and Therapy,journal,11791314,"0,834",Q2,38.0,41.0,115.0,2206.0,465.0,112.0,"2,55","53,80",Pacific Region,Dove Medical Press Ltd.,2010-2022,Oncology,Medicine,New Zealand,https://www.dovepress.com/breast-cancer---targets-and-therapy-journal,Oceania,55,764,819,0.06715506715506715
4771,journal,Breast-Disease,0,home,https://www.iospress.com/catalog/journals/breast-disease,14989.0,12596.0,Breast Disease,journal,"08886008, 15581551","0,304",Q3,35.0,71.0,93.0,1921.0,111.0,93.0,"1,32","27,06",Western Europe,IOS Press BV,"1987-1996, 1998-2008, 2010-2022",Medicine;Oncology;Cancer Research,"Biochemistry, Genetics and Molecular Biology; Medicine",Netherlands,https://www.iospress.nl/journal/breast-disease/,Europe,9,168,177,0.05084745762711865
4772,journal,Breastfeeding-Review,0,home,https://bfr.scholasticahq.com/,14406.0,30024.0,Breastfeeding Review,journal,07292759,"0,323",Q2,26.0,12.0,31.0,520.0,27.0,29.0,"0,68","43,33",Pacific Region,Australian Breastfeeding Association,1997-2022,Maternity and Midwifery;Medicine;Obstetrics and Gynecology,Medicine; Nursing,Australia,https://bfr.scholasticahq.com/,Oceania,23,115,138,0.16666666666666666
4773,journal,Breathe,0,home,https://breathe.ersjournals.com/,9827.0,19700183007.0,Breathe,journal,"18106838, 20734735","0,528",Q3,34.0,70.0,268.0,2554.0,390.0,188.0,"1,18","36,49",Western Europe,European Respiratory Society,2010-2022,Pulmonary and Respiratory Medicine,Medicine,United Kingdom,https://breathe.ersjournals.com/,Europe,30,2490,2520,0.011904761904761904
4774,journal,Breeding-Science,0,home,https://jsbreeding.jp/,7944.0,76879.0,Breeding Science,journal,"13447610, 13473735","0,641",Q1,61.0,40.0,214.0,1970.0,533.0,180.0,"2,33","49,25",Asiatic Region,Japanese Society of Breeding,1993-2022,Agronomy and Crop Science;Plant Science;Genetics,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology",Japan,http://www.nacos.com/jsb/e/index_e.html,Asia,7,445,452,0.015486725663716814
4775,journal,BrewingScience,0,home,https://brewingscience.de/,17514.0,19700176902.0,BrewingScience,journal,"18665195, 16132041","0,234",Q3,19.0,17.0,52.0,575.0,36.0,52.0,"0,53","33,82",Western Europe,Fachverlag Hans Carl,2007-2022,Biotechnology;Food Science;Applied Microbiology and Biotechnology,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology",Germany,https://brewingscience.de/,Europe,43,298,341,0.12609970674486803
4776,journal,British-Columbia-Medical-Journal,0,home,https://bcmj.org/,19970.0,28678.0,British Columbia Medical Journal,journal,00070556,"0,185",Q4,17.0,121.0,370.0,1094.0,78.0,107.0,"0,22","9,04",Northern America,British Columbia Medical Association,"1973-1975, 2004-2022",Medicine,Medicine,Canada,https://www.bcmj.org/,North America,77,1370,1447,0.053213545266067724
4777,journal,British-Food-Journal,0,home,https://www.emeraldgrouppublishing.com/journal/bfj,7891.0,144664.0,British Food Journal,journal,0007070X,"0,645",Q1,94.0,338.0,802.0,23459.0,3335.0,795.0,"4,09","69,41",Western Europe,Emerald Group Publishing Ltd.,1899-2022,Food Science,"Agricultural and Biological Sciences; Business, Management and Accounting",United Kingdom,https://www.emeraldgrouppublishing.com/bfj.htm,Europe,33,987,1020,0.03235294117647059
4778,journal,British-Journal-of-Medical-Practitioners,0,home,https://www.bjmp.org/,22391.0,19700175782.0,British Journal of Medical Practitioners,journal,17578515,"0,143",Q4,15.0,0.0,50.0,0.0,18.0,46.0,"0,20","0,00",Western Europe,JMN Medical Education Ltd,2011-2021,Medicine,Medicine,United Kingdom,https://www.bjmp.org/,Europe,10,118,128,0.078125
4779,journal,British-Journal-of-Nutrition,0,home,https://www.cambridge.org/core/journals/british-journal-of-nutrition,4900.0,30025.0,British Journal of Nutrition,journal,"00071145, 14752662","0,911",Q1,211.0,575.0,914.0,30121.0,3767.0,885.0,"4,26","52,38",Western Europe,Cambridge University Press,1947-2022,Medicine;Nutrition and Dietetics,Medicine; Nursing,United Kingdom,https://www.cambridge.org/core/journals/british-journal-of-nutrition,Europe,40,2221,2261,0.017691287041132243
4780,journal,British-Journal-of-Oral-and-Maxillofacial-Surgery,0,home,https://www.sciencedirect.com/journal/british-journal-of-oral-and-maxillofacial-surgery,9346.0,20530.0,British Journal of Oral and Maxillofacial Surgery,journal,"15321940, 02664356","0,553",Q2,83.0,269.0,907.0,5280.0,1353.0,720.0,"1,56","19,63",Northern America,Churchill Livingstone,1984-2022,Oral Surgery;Otorhinolaryngology;Surgery,Dentistry; Medicine,United States,https://www.sciencedirect.com/journal/british-journal-of-oral-and-maxillofacial-surgery,North America,4,201,205,0.01951219512195122
4781,journal,British-Wildlife,0,home,https://www.britishwildlife.com/,25433.0,24744.0,British Wildlife,journal,09580956,"0,109",Q4,18.0,0.0,143.0,0.0,5.0,85.0,"0,07","0,00",Western Europe,British Wildlife Publishing,1989-2020,Animal Science and Zoology;Plant Science,Agricultural and Biological Sciences; Environmental Science,United Kingdom,http://www.britishwildlife.com/,Europe,11,1279,1290,0.008527131782945736
4782,journal,British-and-Irish-Orthoptic-Journal,0,home,https://bioj-online.com/,15563.0,21101039234.0,British and Irish Orthoptic Journal,journal,"25163590, 17439868","0,286",Q3,3.0,15.0,29.0,358.0,24.0,29.0,"0,83","23,87",Western Europe,,2020-2022,Ophthalmology;Optometry,Health Professions; Medicine,United Kingdom,https://www.bioj-online.com/,Europe,8,720,728,0.01098901098901099
